Time,Bone_Marker_Sammy:HeadTop_D_Position_X,Bone_Marker_Sammy:HeadTop_D_Position_Y,Bone_Marker_Sammy:HeadTop_D_Position_Z,Bone_Marker_Sammy:HeadFront_E_Position_X,Bone_Marker_Sammy:HeadFront_E_Position_Y,Bone_Marker_Sammy:HeadFront_E_Position_Z,Bone_Marker_Sammy:HeadSide_F_Position_X,Bone_Marker_Sammy:HeadSide_F_Position_Y,Bone_Marker_Sammy:HeadSide_F_Position_Z,Bone_Marker_Sammy:BackTop_9_Position_X,Bone_Marker_Sammy:BackTop_9_Position_Y,Bone_Marker_Sammy:BackTop_9_Position_Z,Bone_Marker_Sammy:BackLeft_A_Position_X,Bone_Marker_Sammy:BackLeft_A_Position_Y,Bone_Marker_Sammy:BackLeft_A_Position_Z,Bone_Marker_Sammy:BackRight_B_Position_X,Bone_Marker_Sammy:BackRight_B_Position_Y,Bone_Marker_Sammy:BackRight_B_Position_Z,Bone_Marker_Sammy:Chest_C_Position_X,Bone_Marker_Sammy:Chest_C_Position_Y,Bone_Marker_Sammy:Chest_C_Position_Z,Bone_Marker_Sammy:LShoulderBack_11_Position_X,Bone_Marker_Sammy:LShoulderBack_11_Position_Y,Bone_Marker_Sammy:LShoulderBack_11_Position_Z,Bone_Marker_Sammy:LShoulderTop_10_Position_X,Bone_Marker_Sammy:LShoulderTop_10_Position_Y,Bone_Marker_Sammy:LShoulderTop_10_Position_Z,Bone_Marker_Sammy:LUArmHigh_13_Position_X,Bone_Marker_Sammy:LUArmHigh_13_Position_Y,Bone_Marker_Sammy:LUArmHigh_13_Position_Z,Bone_Marker_Sammy:LElbowOut_12_Position_X,Bone_Marker_Sammy:LElbowOut_12_Position_Y,Bone_Marker_Sammy:LElbowOut_12_Position_Z,Bone_Marker_Sammy:LWristOut_15_Position_X,Bone_Marker_Sammy:LWristOut_15_Position_Y,Bone_Marker_Sammy:LWristOut_15_Position_Z,Bone_Marker_Sammy:LWristIn_16_Position_X,Bone_Marker_Sammy:LWristIn_16_Position_Y,Bone_Marker_Sammy:LWristIn_16_Position_Z,Bone_Marker_Sammy:LHandOut_14_Position_X,Bone_Marker_Sammy:LHandOut_14_Position_Y,Bone_Marker_Sammy:LHandOut_14_Position_Z,Bone_Marker_Sammy:RShoulderBack_18_Position_X,Bone_Marker_Sammy:RShoulderBack_18_Position_Y,Bone_Marker_Sammy:RShoulderBack_18_Position_Z,Bone_Marker_Sammy:RShoulderTop_17_Position_X,Bone_Marker_Sammy:RShoulderTop_17_Position_Y,Bone_Marker_Sammy:RShoulderTop_17_Position_Z,Bone_Marker_Sammy:RUArmHigh_1A_Position_X,Bone_Marker_Sammy:RUArmHigh_1A_Position_Y,Bone_Marker_Sammy:RUArmHigh_1A_Position_Z,Bone_Marker_Sammy:RElbowOut_19_Position_X,Bone_Marker_Sammy:RElbowOut_19_Position_Y,Bone_Marker_Sammy:RElbowOut_19_Position_Z,Bone_Marker_Sammy:RWristOut_1C_Position_X,Bone_Marker_Sammy:RWristOut_1C_Position_Y,Bone_Marker_Sammy:RWristOut_1C_Position_Z,Bone_Marker_Sammy:RWristIn_1D_Position_X,Bone_Marker_Sammy:RWristIn_1D_Position_Y,Bone_Marker_Sammy:RWristIn_1D_Position_Z,Bone_Marker_Sammy:RHandOut_1B_Position_X,Bone_Marker_Sammy:RHandOut_1B_Position_Y,Bone_Marker_Sammy:RHandOut_1B_Position_Z,Bone_Marker_Sammy:WaistLFront_5_Position_X,Bone_Marker_Sammy:WaistLFront_5_Position_Y,Bone_Marker_Sammy:WaistLFront_5_Position_Z,Bone_Marker_Sammy:WaistLBack_7_Position_X,Bone_Marker_Sammy:WaistLBack_7_Position_Y,Bone_Marker_Sammy:WaistLBack_7_Position_Z,Bone_Marker_Sammy:WaistRBack_8_Position_X,Bone_Marker_Sammy:WaistRBack_8_Position_Y,Bone_Marker_Sammy:WaistRBack_8_Position_Z,Bone_Marker_Sammy:WaistRFront_6_Position_X,Bone_Marker_Sammy:WaistRFront_6_Position_Y,Bone_Marker_Sammy:WaistRFront_6_Position_Z
0.0,-2.796053,1697.420166,82.519142,6.252516,1683.902954,190.239746,-83.329765,1637.467529,121.21196,7.982733,1442.665771,20.812624,62.995949,1261.381226,-24.157793,-41.85006,1254.691895,-27.473509,-27.57688,1327.169922,245.290421,150.439163,1347.372192,-7.45573,185.013733,1416.175537,146.308197,247.3284,1216.605225,23.948105,279.43869,1112.411865,33.588661,282.608246,892.309631,126.855759,223.515549,907.108765,201.414551,293.560089,818.314453,158.853409,-112.137962,1337.007202,-15.903178,-173.427185,1416.531738,131.014832,-247.926331,1241.741943,33.247742,-257.485443,1098.341064,31.73633,-257.505615,884.128723,123.237862,-212.799545,915.751953,200.085831,-270.44873,819.899414,151.799774,155.873596,1030.604736,214.730591,141.46109,1061.698975,18.711575,-122.41938,1065.150269,11.922934,-135.344574,1049.563232,224.374649
0.008,-2.784261,1697.414062,82.56736,6.280925,1683.906494,190.272217,-83.322617,1637.458008,121.288933,8.002011,1442.687622,20.888733,63.00465,1261.396484,-24.131184,-41.837471,1254.704346,-27.440809,-27.55761,1327.126709,245.309875,150.451721,1347.38147,-7.41627,185.031677,1416.154297,146.355194,247.320312,1216.592163,23.96995,279.418243,1112.386841,33.602665,282.587128,892.281067,126.857285,223.522522,907.08313,201.43309,293.546906,818.28241,158.836472,-112.127632,1337.006226,-15.856132,-173.407898,1416.516724,131.076279,-247.906738,1241.741455,33.277618,-257.481262,1098.323608,31.771933,-257.495789,884.127747,123.239662,-212.682724,915.632263,199.966248,-270.441071,819.878906,151.798721,155.881851,1030.596924,214.76268,141.468277,1061.704956,18.730055,-122.415855,1065.161865,11.938982,-135.322617,1049.53186,224.412354
0.017,-2.782584,1697.405396,82.640198,6.368485,1683.869141,190.306412,-83.298172,1637.448364,121.368889,8.017752,1442.698242,20.945978,63.003586,1261.421997,-24.087761,-41.82349,1254.725586,-27.40465,-27.533112,1327.062256,245.344574,150.474442,1347.376709,-7.371687,185.060959,1416.126953,146.39621,247.305008,1216.574707,23.992481,279.40332,1112.36731,33.614826,282.571686,892.264221,126.858521,223.516281,907.050659,201.453156,293.535614,818.257812,158.830688,-112.103935,1337.032959,-15.815338,-173.369675,1416.514282,131.17865,-247.882477,1241.748779,33.331276,-257.463135,1098.337891,31.795889,-257.478973,884.131775,123.241592,-212.804138,915.722656,200.110123,-270.43811,819.891296,151.787552,155.883133,1030.575928,214.788818,141.465332,1061.710083,18.74679,-122.401886,1065.170776,11.96579,-135.329773,1049.513794,224.451385
0.025,-2.774287,1697.397827,82.688972,6.392019,1683.870972,190.367126,-83.280548,1637.431763,121.465958,8.03331,1442.719482,21.003231,63.011074,1261.432495,-24.051811,-41.8106,1254.740356,-27.364573,-27.503328,1327.023071,245.363953,150.492691,1347.388306,-7.329951,185.080566,1416.102295,146.453781,247.303055,1216.549438,24.020807,279.396912,1112.345459,33.637325,282.563782,892.231384,126.875206,223.525299,907.02533,201.467117,293.531403,818.225037,158.853973,-112.085388,1337.06604,-15.780855,-173.343964,1416.517334,131.276596,-247.864761,1241.762573,33.378399,-257.455261,1098.355225,31.83173,-257.471069,884.12207,123.241562,-212.775665,915.598999,200.122818,-270.428864,819.887634,151.772736,155.840088,1030.513062,214.816254,141.476944,1061.710083,18.785934,-122.392998,1065.184814,11.993969,-135.334198,1049.510376,224.487244
0.033,-2.756813,1697.4021,82.773735,6.422174,1683.862305,190.440155,-83.252419,1637.423828,121.536095,8.034126,1442.727661,21.061539,63.008472,1261.45166,-24.015123,-41.809284,1254.772583,-27.320835,-27.47867,1326.980713,245.387527,150.51059,1347.389404,-7.276864,185.094955,1416.08313,146.497131,247.313599,1216.564697,24.044537,279.393036,1112.324097,33.650089,282.562256,892.210693,126.898827,223.526459,907.001587,201.488937,293.531647,818.216187,158.864914,-112.098236,1337.088745,-15.700895,-173.326569,1416.519653,131.378067,-247.865341,1241.786255,33.446938,-257.448761,1098.384155,31.872883,-257.467834,884.147644,123.239807,-212.708328,915.680176,200.055313,-270.425323,819.896362,151.75206,155.84584,1030.5,214.850021,141.483429,1061.731812,18.824026,-122.382584,1065.201172,12.006193,-135.328644,1049.505249,224.507141
0.042,-2.73314,1697.400391,82.852364,6.409316,1683.896606,190.547394,-83.220985,1637.419922,121.627235,8.05022,1442.741333,21.110018,63.023991,1261.455322,-23.9762,-41.814865,1254.805054,-27.276684,-27.460199,1326.933716,245.404312,150.528839,1347.386353,-7.232316,185.121414,1416.059937,146.531113,247.325653,1216.540161,24.071207,279.400055,1112.311768,33.667603,282.55307,892.190857,126.905205,223.51326,906.990601,201.51265,293.522247,818.209412,158.882919,-112.092438,1337.124023,-15.626921,-173.289597,1416.526489,131.430893,-247.853378,1241.801147,33.518753,-257.459015,1098.404907,31.941444,-257.460663,884.15332,123.246277,-212.878967,915.649536,200.265915,-270.424408,819.90033,151.752151,155.853958,1030.477783,214.871353,141.40802,1061.6521,19.05471,-122.369629,1065.22644,12.030914,-135.334427,1049.508667,224.547119
0.05,-2.703505,1697.414551,82.942574,6.559288,1683.906738,190.619629,-83.194824,1637.437866,121.683083,8.055261,1442.748169,21.159405,63.01292,1261.472046,-23.937778,-41.812935,1254.823853,-27.226223,-27.429739,1326.904663,245.415985,150.540009,1347.374634,-7.195325,185.148926,1416.040039,146.586456,247.337448,1216.532593,24.094236,279.389984,1112.291016,33.672272,282.546265,892.186218,126.928596,223.52417,906.980896,201.533524,293.515778,818.185913,158.917999,-112.111458,1337.139038,-15.580632,-173.259094,1416.539307,131.506104,-247.847,1241.833984,33.607269,-257.458649,1098.443359,31.995441,-257.451965,884.171448,123.259827,-212.803955,915.755615,200.192474,-270.419189,819.904907,151.750244,155.851364,1030.474487,214.918442,141.405746,1061.658569,19.122808,-122.372986,1065.237793,12.049703,-135.326035,1049.499146,224.580078
0.058,-2.655616,1697.421265,83.022881,6.635346,1683.889648,190.691315,-83.151939,1637.417847,121.780426,8.070119,1442.757935,21.205517,63.01252,1261.467041,-23.899044,-41.815754,1254.827881,-27.189638,-27.381397,1326.859253,245.434708,150.550888,1347.368164,-7.153584,185.173752,1416.016113,146.62056,247.336517,1216.498291,24.115595,279.39093,1112.264648,33.692757,282.543304,892.15625,126.957581,223.503448,906.971863,201.550476,293.509796,818.168823,158.930969,-112.126305,1337.17041,-15.479964,-173.229446,1416.557495,131.580261,-247.858521,1241.864258,33.682411,-257.448822,1098.458008,32.064365,-257.451721,884.176575,123.25869,-212.67598,915.643372,200.09021,-270.409271,819.911865,151.747147,155.856247,1030.450317,214.93779,141.413834,1061.653442,19.158867,-122.347565,1065.247803,12.086035,-135.325333,1049.503418,224.61174
0.067,-2.63249,1697.442139,83.12986,6.699254,1683.871826,190.786163,-83.005722,1637.455811,122.074287,8.075946,1442.75,21.25305,63.00071,1261.474731,-23.867121,-41.83181,1254.856445,-27.152046,-27.362122,1326.828613,245.455688,150.551346,1347.355347,-7.12061,185.204834,1416.003174,146.647629,247.350525,1216.484741,24.134928,279.410858,1112.241089,33.714355,282.545227,892.145813,126.982269,223.508911,906.963074,201.578125,293.503784,818.160828,158.961212,-112.143799,1337.186401,-15.421024,-173.205078,1416.566528,131.64653,-247.870789,1241.88623,33.76741,-257.462769,1098.490967,32.100109,-257.446533,884.191345,123.272743,-212.731216,915.700134,200.160492,-270.411926,819.921509,151.757507,155.853119,1030.442993,214.978027,141.429993,1061.662231,19.209152,-122.349899,1065.262207,12.12288,-135.333725,1049.505859,224.651154
0.075,-2.578257,1697.466064,83.223366,6.774926,1683.865356,190.882645,-82.939087,1637.474243,122.218849,8.084461,1442.752319,21.306599,62.987991,1261.475586,-23.82288,-41.836376,1254.876099,-27.094042,-27.327053,1326.807129,245.487274,150.530472,1347.309082,-7.055668,185.239426,1415.989868,146.681549,247.35405,1216.466309,24.145048,279.417175,1112.222534,33.738148,282.544342,892.125671,127.004982,223.472916,906.930542,201.574341,293.5047,818.160828,158.98465,-112.101738,1337.228271,-15.451092,-173.177902,1416.580322,131.717178,-247.875061,1241.907837,33.829994,-257.473114,1098.524048,32.174976,-257.459503,884.218811,123.311378,-212.721069,915.692688,200.1763,-270.420837,819.944275,151.773956,155.86409,1030.432495,215.01976,141.432571,1061.66748,19.255976,-122.339577,1065.275635,12.155005,-135.339645,1049.509033,224.680237
