Time,Bone_Marker_Sammy:HeadTop_D_Position_X,Bone_Marker_Sammy:HeadTop_D_Position_Y,Bone_Marker_Sammy:HeadTop_D_Position_Z,Bone_Marker_Sammy:HeadFront_E_Position_X,Bone_Marker_Sammy:HeadFront_E_Position_Y,Bone_Marker_Sammy:HeadFront_E_Position_Z,Bone_Marker_Sammy:HeadSide_F_Position_X,Bone_Marker_Sammy:HeadSide_F_Position_Y,Bone_Marker_Sammy:HeadSide_F_Position_Z,Bone_Marker_Sammy:BackTop_9_Position_X,Bone_Marker_Sammy:BackTop_9_Position_Y,Bone_Marker_Sammy:BackTop_9_Position_Z,Bone_Marker_Sammy:BackLeft_A_Position_X,Bone_Marker_Sammy:BackLeft_A_Position_Y,Bone_Marker_Sammy:BackLeft_A_Position_Z,Bone_Marker_Sammy:BackRight_B_Position_X,Bone_Marker_Sammy:BackRight_B_Position_Y,Bone_Marker_Sammy:BackRight_B_Position_Z,Bone_Marker_Sammy:Chest_C_Position_X,Bone_Marker_Sammy:Chest_C_Position_Y,Bone_Marker_Sammy:Chest_C_Position_Z,Bone_Marker_Sammy:LShoulderBack_11_Position_X,Bone_Marker_Sammy:LShoulderBack_11_Position_Y,Bone_Marker_Sammy:LShoulderBack_11_Position_Z,Bone_Marker_Sammy:LShoulderTop_10_Position_X,Bone_Marker_Sammy:LShoulderTop_10_Position_Y,Bone_Marker_Sammy:LShoulderTop_10_Position_Z,Bone_Marker_Sammy:LUArmHigh_13_Position_X,Bone_Marker_Sammy:LUArmHigh_13_Position_Y,Bone_Marker_Sammy:LUArmHigh_13_Position_Z,Bone_Marker_Sammy:LElbowOut_12_Position_X,Bone_Marker_Sammy:LElbowOut_12_Position_Y,Bone_Marker_Sammy:LElbowOut_12_Position_Z,Bone_Marker_Sammy:LWristOut_15_Position_X,Bone_Marker_Sammy:LWristOut_15_Position_Y,Bone_Marker_Sammy:LWristOut_15_Position_Z,Bone_Marker_Sammy:LWristIn_16_Position_X,Bone_Marker_Sammy:LWristIn_16_Position_Y,Bone_Marker_Sammy:LWristIn_16_Position_Z,Bone_Marker_Sammy:LHandOut_14_Position_X,Bone_Marker_Sammy:LHandOut_14_Position_Y,Bone_Marker_Sammy:LHandOut_14_Position_Z,Bone_Marker_Sammy:RShoulderBack_18_Position_X,Bone_Marker_Sammy:RShoulderBack_18_Position_Y,Bone_Marker_Sammy:RShoulderBack_18_Position_Z,Bone_Marker_Sammy:RShoulderTop_17_Position_X,Bone_Marker_Sammy:RShoulderTop_17_Position_Y,Bone_Marker_Sammy:RShoulderTop_17_Position_Z,Bone_Marker_Sammy:RUArmHigh_1A_Position_X,Bone_Marker_Sammy:RUArmHigh_1A_Position_Y,Bone_Marker_Sammy:RUArmHigh_1A_Position_Z,Bone_Marker_Sammy:RElbowOut_19_Position_X,Bone_Marker_Sammy:RElbowOut_19_Position_Y,Bone_Marker_Sammy:RElbowOut_19_Position_Z,Bone_Marker_Sammy:RWristOut_1C_Position_X,Bone_Marker_Sammy:RWristOut_1C_Position_Y,Bone_Marker_Sammy:RWristOut_1C_Position_Z,Bone_Marker_Sammy:RWristIn_1D_Position_X,Bone_Marker_Sammy:RWristIn_1D_Position_Y,Bone_Marker_Sammy:RWristIn_1D_Position_Z,Bone_Marker_Sammy:RHandOut_1B_Position_X,Bone_Marker_Sammy:RHandOut_1B_Position_Y,Bone_Marker_Sammy:RHandOut_1B_Position_Z,Bone_Marker_Sammy:WaistLFront_5_Position_X,Bone_Marker_Sammy:WaistLFront_5_Position_Y,Bone_Marker_Sammy:WaistLFront_5_Position_Z,Bone_Marker_Sammy:WaistLBack_7_Position_X,Bone_Marker_Sammy:WaistLBack_7_Position_Y,Bone_Marker_Sammy:WaistLBack_7_Position_Z,Bone_Marker_Sammy:WaistRBack_8_Position_X,Bone_Marker_Sammy:WaistRBack_8_Position_Y,Bone_Marker_Sammy:WaistRBack_8_Position_Z,Bone_Marker_Sammy:WaistRFront_6_Position_X,Bone_Marker_Sammy:WaistRFront_6_Position_Y,Bone_Marker_Sammy:WaistRFront_6_Position_Z
0.0,-6.025259,1695.945801,-75.059494,2.029276,1682.255615,33.028061,-86.543503,1635.800415,-36.303596,4.516026,1430.053223,-138.444855,59.099167,1244.244873,-176.005737,-43.579117,1239.636841,-180.155579,-34.282093,1328.086914,88.684174,144.660889,1328.096313,-163.383469,183.343353,1416.256592,-17.536453,230.775421,1201.566284,-120.022789,259.900208,1097.052002,-105.066772,285.621887,883.909668,1.303769,238.641144,904.162292,83.054298,293.54422,809.518066,33.639267,-112.476295,1322.820435,-173.932922,-181.807388,1413.87793,-35.254932,-244.324509,1230.556152,-122.400581,-252.600311,1086.537231,-111.079918,-275.384796,876.711426,-12.922919,-239.675903,910.671326,66.740761,-294.915833,812.243835,14.662628,143.852661,1032.959961,73.028145,143.009109,1060.816406,-125.974533,-126.152351,1070.546143,-142.147964,-139.673309,1057.101562,72.079628
0.008,-6.162062,1695.923584,-75.107727,1.949269,1682.254761,33.019695,-86.779167,1635.794434,-36.543465,4.434383,1430.035889,-138.426147,59.031639,1244.178467,-175.861176,-43.643913,1239.610474,-180.109344,-34.380375,1328.093018,88.737343,144.570038,1328.099365,-163.359619,183.242218,1416.276611,-17.511761,230.66571,1201.588623,-120.039711,259.830566,1097.086792,-105.07859,285.638062,883.914856,1.196943,238.669098,904.151917,82.965569,293.606445,809.537537,33.505096,-112.536438,1322.778198,-173.925476,-181.926758,1413.835815,-35.19331,-244.363068,1230.500366,-122.42382,-252.584518,1086.452759,-111.054123,-275.277679,876.647034,-12.82741,-239.626877,910.665649,66.800369,-294.796661,812.188293,14.777525,143.815338,1032.967163,73.044777,142.94928,1060.82373,-125.938263,-126.212746,1070.558472,-141.995911,-139.734589,1057.114136,72.176338
0.017,-6.342979,1695.94458,-75.122559,1.845953,1682.25769,33.004547,-86.919456,1635.809204,-36.595119,4.348094,1430.020386,-138.393967,58.942513,1244.18103,-175.769348,-43.700695,1239.581787,-180.073029,-34.484997,1328.106201,88.744812,144.493729,1328.105347,-163.336777,183.168076,1416.29126,-17.493912,230.580551,1201.619751,-120.033554,259.754303,1097.125488,-105.094322,285.653412,883.935852,1.096261,238.690979,904.143799,82.867737,293.665649,809.561584,33.387463,-112.626038,1322.742065,-173.977509,-182.016617,1413.802002,-35.227444,-244.403763,1230.436279,-122.422546,-252.56041,1086.373291,-111.083527,-275.162567,876.602234,-12.712815,-239.559021,910.703979,66.90007,-294.660065,812.137756,14.895962,143.806458,1032.997314,73.082588,142.873459,1060.807129,-125.900253,-126.281532,1070.546997,-141.909119,-139.764999,1057.129883,72.27063
0.025,-6.526972,1695.933228,-75.226288,1.723215,1682.243408,33.022434,-87.035568,1635.805298,-36.641685,4.2704,1430.007935,-138.371277,58.881081,1244.146484,-175.75267,-43.756153,1239.53833,-180.021011,-34.582645,1328.11377,88.800293,144.408554,1328.114746,-163.307922,183.063431,1416.302246,-17.470985,230.473877,1201.640503,-120.029732,259.685181,1097.160278,-105.098732,285.642365,883.943054,0.984148,238.736389,904.089233,82.708633,293.706024,809.586609,33.259212,-112.686157,1322.720825,-174.017014,-182.179321,1413.773071,-35.217525,-244.444489,1230.384277,-122.420898,-252.206833,1085.758423,-109.509056,-275.010437,876.542297,-12.589498,-239.480835,910.70813,66.970436,-294.506134,812.102783,15.014611,143.767807,1033.031372,73.124306,142.828751,1060.80127,-125.862938,-126.326714,1070.534912,-141.792877,-139.814896,1057.136108,72.340431
0.033,-6.640609,1695.932129,-75.269653,1.635941,1682.236328,33.001152,-87.154144,1635.806763,-36.691845,4.169409,1430.003174,-138.333618,58.811779,1244.125854,-175.707977,-43.837196,1239.488037,-179.919876,-34.640701,1328.098755,88.79335,144.325653,1328.128052,-163.288391,182.971634,1416.321411,-17.432589,230.388,1201.671265,-120.023018,259.600006,1097.190063,-105.097908,285.636047,883.949951,0.906116,238.718674,904.121399,82.750061,293.733246,809.595886,33.150677,-112.745506,1322.692627,-174.021332,-182.327713,1413.727417,-35.279858,-244.55043,1230.361206,-122.54673,-252.193802,1085.69519,-109.502991,-274.87973,876.496826,-12.465358,-239.39476,910.714844,67.06366,-294.337921,812.058105,15.166201,143.749817,1033.0448,73.146545,142.779861,1060.817993,-125.82354,-126.388939,1070.527954,-141.678177,-139.847961,1057.146606,72.447441
0.042,-6.737711,1695.924316,-75.286255,1.558192,1682.251099,33.008419,-87.267067,1635.806519,-36.761093,4.073888,1429.980469,-138.289108,58.735512,1244.143311,-175.622116,-43.891735,1239.477417,-179.895584,-34.734936,1328.10437,88.838768,144.250473,1328.134155,-163.250534,182.859085,1416.335449,-17.399065,230.285873,1201.69458,-120.004936,259.512878,1097.220459,-105.096092,285.61615,883.952209,0.836502,238.746078,904.111633,82.718475,293.746582,809.58844,33.022495,-112.81884,1322.661743,-174.027588,-182.427765,1413.676392,-35.278912,-244.590134,1230.304321,-122.537163,-252.175568,1085.613403,-109.457802,-274.753052,876.448853,-12.344675,-239.318924,910.708008,67.143883,-294.081879,812.034241,15.342092,143.730743,1033.060181,73.193481,142.725647,1060.809937,-125.783653,-126.448784,1070.505859,-141.569519,-139.871185,1057.151123,72.523186
0.05,-6.92257,1695.907104,-75.260071,1.470835,1682.231689,32.988419,-87.378258,1635.793823,-36.75515,3.989344,1429.957764,-138.248199,58.679932,1244.133423,-175.584412,-43.94154,1239.430054,-179.837936,-34.844673,1328.085571,88.851646,144.173416,1328.147095,-163.22673,182.762085,1416.343384,-17.357552,230.201279,1201.71521,-119.97979,259.436005,1097.251587,-105.081558,285.602325,883.962708,0.775043,238.753906,904.110596,82.755707,293.744293,809.589722,32.95599,-112.889969,1322.648438,-174.024475,-182.520828,1413.648315,-35.235485,-244.633118,1230.230225,-122.517525,-252.999161,1086.243042,-111.768768,-274.625092,876.410156,-12.217063,-239.228607,910.688904,67.253426,-293.844666,811.96405,15.511227,143.702606,1033.063477,73.236633,142.66713,1060.823486,-125.731033,-126.497375,1070.478516,-141.469696,-139.912155,1057.152954,72.629036
0.058,-7.041669,1695.895264,-75.260033,1.370281,1682.211182,32.977345,-87.483322,1635.795898,-36.711899,3.881581,1429.937988,-138.212509,58.605465,1244.116089,-175.529388,-44.004333,1239.392578,-179.790024,-34.961864,1328.073975,88.926117,144.082428,1328.140625,-163.196014,182.666031,1416.352905,-17.323051,230.10733,1201.737793,-119.945641,259.325195,1097.288208,-105.084015,285.570465,883.967773,0.749557,238.750305,904.081482,82.675667,293.725555,809.598816,32.882652,-112.995461,1322.401123,-173.338318,-182.638992,1413.591797,-35.18784,-244.675735,1230.155029,-122.485001,-252.302612,1085.773804,-110.344513,-274.49057,876.335327,-12.086776,-239.118698,910.68335,67.36676,-293.673157,811.90094,15.683688,143.671692,1033.067383,73.273453,142.612549,1060.815308,-125.694229,-126.553429,1070.469116,-141.379074,-139.923492,1057.134766,72.725807
0.067,-7.163784,1695.869995,-75.245399,1.262588,1682.196289,32.972569,-87.583069,1635.778076,-36.70517,3.771256,1429.907104,-138.184509,58.531567,1244.103027,-175.473175,-44.054749,1239.361938,-179.733292,-35.028687,1328.059204,88.973305,143.992828,1328.12854,-163.136978,182.569412,1416.358643,-17.296783,230.036575,1201.772949,-119.919991,259.234894,1097.319458,-105.065826,285.535828,883.984375,0.697719,238.751404,904.108704,82.767799,293.705719,809.609741,32.83876,-113.066566,1322.351929,-173.308838,-182.733231,1413.544556,-35.139668,-244.716034,1230.076538,-122.471497,-252.922836,1086.078613,-111.755409,-274.336639,876.268738,-11.926443,-239.022964,910.672607,67.499664,-293.465454,811.831665,15.86062,143.647141,1033.074219,73.307533,142.561722,1060.801636,-125.644447,-126.601891,1070.454468,-141.281555,-139.940918,1057.13623,72.844421
0.075,-7.283957,1695.851807,-75.232124,1.19058,1682.182129,32.981148,-87.704803,1635.764404,-36.63755,3.688523,1429.880127,-138.147537,58.483459,1244.085449,-175.43335,-44.128941,1239.325195,-179.681946,-35.095222,1328.042969,88.969749,143.905594,1328.124146,-163.095261,182.461472,1416.376465,-17.280359,229.970474,1201.794922,-119.869171,259.161102,1097.350586,-105.034012,285.498322,884.015808,0.677262,238.746323,904.094849,82.779808,293.675415,809.627319,32.805206,-113.136406,1322.299438,-173.274475,-182.808167,1413.497437,-35.150105,-244.755463,1230.014282,-122.438667,-252.308105,1085.671875,-110.409798,-274.182098,876.198242,-11.771563,-238.889099,910.662598,67.622711,-293.300262,811.771057,16.041477,143.60994,1033.061157,73.343575,142.519684,1060.787109,-125.586731,-126.630531,1070.437988,-141.176926,-139.947601,1057.135254,72.960419
