Time,Bone_Marker_Sammy:HeadTop_D_Position_X,Bone_Marker_Sammy:HeadTop_D_Position_Y,Bone_Marker_Sammy:HeadTop_D_Position_Z,Bone_Marker_Sammy:HeadFront_E_Position_X,Bone_Marker_Sammy:HeadFront_E_Position_Y,Bone_Marker_Sammy:HeadFront_E_Position_Z,Bone_Marker_Sammy:HeadSide_F_Position_X,Bone_Marker_Sammy:HeadSide_F_Position_Y,Bone_Marker_Sammy:HeadSide_F_Position_Z,Bone_Marker_Sammy:BackTop_9_Position_X,Bone_Marker_Sammy:BackTop_9_Position_Y,Bone_Marker_Sammy:BackTop_9_Position_Z,Bone_Marker_Sammy:BackLeft_A_Position_X,Bone_Marker_Sammy:BackLeft_A_Position_Y,Bone_Marker_Sammy:BackLeft_A_Position_Z,Bone_Marker_Sammy:BackRight_B_Position_X,Bone_Marker_Sammy:BackRight_B_Position_Y,Bone_Marker_Sammy:BackRight_B_Position_Z,Bone_Marker_Sammy:Chest_C_Position_X,Bone_Marker_Sammy:Chest_C_Position_Y,Bone_Marker_Sammy:Chest_C_Position_Z,Bone_Marker_Sammy:LShoulderBack_11_Position_X,Bone_Marker_Sammy:LShoulderBack_11_Position_Y,Bone_Marker_Sammy:LShoulderBack_11_Position_Z,Bone_Marker_Sammy:LShoulderTop_10_Position_X,Bone_Marker_Sammy:LShoulderTop_10_Position_Y,Bone_Marker_Sammy:LShoulderTop_10_Position_Z,Bone_Marker_Sammy:LUArmHigh_13_Position_X,Bone_Marker_Sammy:LUArmHigh_13_Position_Y,Bone_Marker_Sammy:LUArmHigh_13_Position_Z,Bone_Marker_Sammy:LElbowOut_12_Position_X,Bone_Marker_Sammy:LElbowOut_12_Position_Y,Bone_Marker_Sammy:LElbowOut_12_Position_Z,Bone_Marker_Sammy:LWristOut_15_Position_X,Bone_Marker_Sammy:LWristOut_15_Position_Y,Bone_Marker_Sammy:LWristOut_15_Position_Z,Bone_Marker_Sammy:LWristIn_16_Position_X,Bone_Marker_Sammy:LWristIn_16_Position_Y,Bone_Marker_Sammy:LWristIn_16_Position_Z,Bone_Marker_Sammy:LHandOut_14_Position_X,Bone_Marker_Sammy:LHandOut_14_Position_Y,Bone_Marker_Sammy:LHandOut_14_Position_Z,Bone_Marker_Sammy:RShoulderBack_18_Position_X,Bone_Marker_Sammy:RShoulderBack_18_Position_Y,Bone_Marker_Sammy:RShoulderBack_18_Position_Z,Bone_Marker_Sammy:RShoulderTop_17_Position_X,Bone_Marker_Sammy:RShoulderTop_17_Position_Y,Bone_Marker_Sammy:RShoulderTop_17_Position_Z,Bone_Marker_Sammy:RUArmHigh_1A_Position_X,Bone_Marker_Sammy:RUArmHigh_1A_Position_Y,Bone_Marker_Sammy:RUArmHigh_1A_Position_Z,Bone_Marker_Sammy:RElbowOut_19_Position_X,Bone_Marker_Sammy:RElbowOut_19_Position_Y,Bone_Marker_Sammy:RElbowOut_19_Position_Z,Bone_Marker_Sammy:RWristOut_1C_Position_X,Bone_Marker_Sammy:RWristOut_1C_Position_Y,Bone_Marker_Sammy:RWristOut_1C_Position_Z,Bone_Marker_Sammy:RWristIn_1D_Position_X,Bone_Marker_Sammy:RWristIn_1D_Position_Y,Bone_Marker_Sammy:RWristIn_1D_Position_Z,Bone_Marker_Sammy:RHandOut_1B_Position_X,Bone_Marker_Sammy:RHandOut_1B_Position_Y,Bone_Marker_Sammy:RHandOut_1B_Position_Z,Bone_Marker_Sammy:WaistLFront_5_Position_X,Bone_Marker_Sammy:WaistLFront_5_Position_Y,Bone_Marker_Sammy:WaistLFront_5_Position_Z,Bone_Marker_Sammy:WaistLBack_7_Position_X,Bone_Marker_Sammy:WaistLBack_7_Position_Y,Bone_Marker_Sammy:WaistLBack_7_Position_Z,Bone_Marker_Sammy:WaistRBack_8_Position_X,Bone_Marker_Sammy:WaistRBack_8_Position_Y,Bone_Marker_Sammy:WaistRBack_8_Position_Z,Bone_Marker_Sammy:WaistRFront_6_Position_X,Bone_Marker_Sammy:WaistRFront_6_Position_Y,Bone_Marker_Sammy:WaistRFront_6_Position_Z
0.0,-5.268124,1663.224121,29.080549,-16.161844,1618.212891,-69.226776,75.0886,1595.437012,6.925986,19.530945,1417.183838,155.400909,-25.641043,1237.624878,218.107544,85.777687,1236.554077,198.374619,-7.075136,1291.786011,-62.807732,-115.620117,1318.497681,208.994736,-173.495941,1394.765869,67.287483,-254.870331,1229.603149,196.555634,-336.827087,1148.719727,203.358902,-311.454559,998.721863,-4.467738,-228.238586,1044.257324,-28.44669,-288.384125,945.470825,-14.026081,159.492249,1315.438965,145.150787,119.823578,1411.772461,11.081969,236.444977,1306.174927,-70.521408,235.090759,1275.51416,-224.145569,203.840881,1357.519043,-467.354675,134.188446,1410.685791,-442.161926,216.536423,1409.166382,-522.540955,-156.999649,1041.951538,-12.054177,-135.436661,1058.59436,185.262863,134.223526,1060.584106,162.165512,112.529846,1040.553223,-50.089504
0.008,-5.365342,1659.672119,29.488216,-16.283293,1613.977661,-68.532936,75.001793,1591.666626,7.64536,20.010239,1414.093018,158.166138,-24.89349,1233.94519,220.618317,86.449936,1233.067749,200.52243,-7.881937,1290.096802,-59.885403,-114.888939,1314.911377,212.393875,-173.749634,1392.025879,71.53727,-255.517838,1224.774658,198.782593,-336.670776,1143.149536,203.984161,-311.324432,996.145447,-6.065556,-227.810883,1041.460938,-29.025658,-288.3974,942.81311,-15.836185,159.975357,1312.088257,147.124481,120.329201,1409.37854,13.70919,234.399643,1303.128052,-69.678864,230.997955,1273.800537,-222.574036,199.231384,1343.02002,-468.301605,130.07811,1398.921387,-447.047363,212.327042,1388.100098,-528.255432,-157.929794,1039.954224,-9.73028,-135.055374,1054.582275,187.204483,134.440842,1057.122925,163.045914,112.089149,1040.105957,-49.569241
0.017,-5.334028,1656.227295,29.878321,-16.412479,1609.80249,-67.853355,74.921425,1587.931763,8.306005,20.698658,1410.81543,161.085968,-24.078161,1230.258545,223.065079,87.037224,1229.452393,202.658554,-8.580409,1288.46582,-56.69585,-113.997093,1311.054932,215.730087,-174.025925,1389.13916,75.951447,-256.108429,1219.622314,200.952881,-336.548859,1137.536011,204.524551,-311.233154,993.268616,-7.573396,-227.548538,1038.587036,-29.490818,-288.613525,940.041992,-17.753048,160.633972,1308.739868,149.307922,121.191162,1407.430786,14.713193,232.571106,1300.103149,-68.43985,226.820953,1272.09375,-220.772537,194.743103,1328.196777,-468.369415,125.655487,1386.134155,-451.414734,207.563461,1365.641968,-532.085999,-158.760071,1037.859009,-7.844112,-134.89679,1050.112793,189.109833,134.526337,1053.679565,163.852142,111.473167,1039.388306,-48.981613
0.025,-5.215756,1652.72229,30.120232,-16.514776,1605.76416,-67.270378,74.9319,1584.257324,8.946698,21.241343,1407.065063,163.194229,-23.207836,1226.535645,225.26503,87.687477,1225.66333,204.651382,-9.311961,1286.640747,-53.583385,-113.209404,1307.226929,219.099991,-174.382492,1386.253418,80.467712,-256.493591,1214.372559,203.150665,-336.349243,1131.875977,204.815689,-311.181549,990.495361,-9.140442,-227.222076,1035.714966,-30.330242,-288.999146,937.082947,-20.410002,161.288528,1305.254639,151.539383,121.551636,1404.285645,18.264915,230.55867,1297.065918,-67.133018,222.748108,1270.402466,-218.691833,190.252075,1313.042358,-467.358276,121.177147,1372.426147,-455.314453,202.958359,1342.92395,-533.960693,-159.6008,1035.607544,-5.673057,-134.510056,1046.235229,192.358582,134.620636,1050.164307,164.543762,110.786568,1038.1427,-48.381699
0.033,-5.093516,1649.225952,30.403996,-16.560854,1601.743042,-66.64563,74.954697,1580.665527,9.599341,21.633718,1403.906738,166.268555,-22.500118,1222.746948,227.501968,88.205338,1221.93042,206.65271,-9.803386,1284.953491,-50.322536,-112.123245,1302.820068,221.451416,-174.83638,1383.26709,84.92202,-256.627502,1208.915771,205.178818,-335.796936,1126.257202,205.047272,-311.1745,987.862915,-10.932764,-226.860947,1032.842163,-31.272381,-289.338348,934.46405,-22.69433,161.835129,1301.721191,153.682861,122.170357,1402.445435,20.077625,228.038086,1293.925537,-65.904327,218.673279,1268.361206,-216.633377,185.920364,1298.449829,-465.014252,116.591682,1357.977051,-457.838867,198.63681,1320.527954,-534.01239,-160.353745,1033.324219,-3.755435,-134.251434,1041.771729,194.169022,134.873489,1046.656006,165.1017,110.235222,1036.301147,-48.048588
0.042,-4.95731,1645.825439,30.8596,-16.516109,1597.847778,-66.093941,75.053696,1577.064209,10.340965,22.07206,1400.377197,168.775543,-21.720465,1218.897949,229.550339,88.788811,1218.404175,208.472061,-10.215477,1283.362061,-47.116005,-111.324272,1298.750366,224.573334,-175.362335,1380.188477,89.29998,-256.556366,1203.458984,207.155365,-335.393005,1120.79541,205.181656,-311.114319,985.191345,-12.583735,-226.639236,1030.138306,-32.301479,-289.715851,932.054443,-24.751488,162.283783,1298.494263,155.985397,121.741524,1398.993164,25.056009,225.901489,1291.275024,-64.528435,215.006989,1265.755859,-214.327957,182.549927,1285.217163,-461.873169,112.332733,1343.060791,-459.008514,195.573654,1299.938477,-532.000549,-161.018066,1030.786499,-1.774194,-134.040131,1037.130249,195.840515,135.002243,1043.231445,165.737381,109.707558,1034.253052,-47.862122
0.05,-4.660583,1642.51416,31.242525,-16.275324,1594.095459,-65.363792,75.308525,1573.540283,10.936722,22.207846,1397.171387,171.632172,-21.038836,1215.244263,231.550705,89.405418,1215.024536,210.136185,-10.479836,1281.859863,-44.063904,-110.495613,1294.977661,227.465179,-175.843887,1377.244141,93.496353,-256.21756,1197.930542,208.896957,-334.951965,1115.668701,205.103195,-311.000122,982.812744,-14.407869,-226.286728,1027.60437,-33.586876,-290.021912,929.787598,-26.883106,162.747833,1295.532837,158.213394,121.441063,1396.588989,28.011883,224.0439,1288.653198,-63.302917,211.952133,1262.212158,-211.891708,180.63623,1274.204712,-458.296753,107.877708,1328.334473,-458.604126,193.620621,1283.648682,-527.924377,-161.445267,1028.314697,-0.081923,-133.835892,1032.777344,197.259949,135.151917,1039.886841,166.387909,109.10096,1032.224609,-47.747639
0.058,-4.341507,1639.442627,31.824886,-15.973013,1590.641724,-64.570923,75.564537,1570.199585,11.9217,22.091318,1394.158569,174.318985,-20.128956,1211.812988,233.478806,89.90786,1211.84375,211.780991,-10.792816,1280.363403,-41.417286,-109.718651,1291.297852,230.108948,-176.304611,1374.280518,97.21611,-255.347229,1192.599976,210.49263,-334.190002,1110.531616,204.898209,-310.814301,980.696777,-16.324295,-225.836838,1025.192749,-34.792503,-290.269867,927.895203,-29.170347,163.152695,1292.965088,160.439835,120.922882,1394.450562,30.267075,222.610001,1286.200806,-61.693581,209.227631,1257.254639,-209.264297,179.383713,1264.879883,-454.857697,103.293663,1314.201782,-456.691071,192.277237,1271.938232,-523.402344,-161.780014,1025.812378,1.403243,-133.579575,1028.292358,198.53804,135.371201,1036.643311,167.063187,108.430458,1030.076904,-47.576
0.067,-3.845486,1636.642944,32.723808,-15.490333,1587.584839,-63.570858,75.803925,1567.029053,13.133861,21.943624,1391.293823,176.537643,-19.60561,1208.635742,235.246338,90.381073,1208.962769,213.159943,-11.387135,1278.85376,-39.107819,-109.010689,1287.767212,232.558487,-176.730621,1371.384888,100.56794,-254.535522,1187.37793,211.62175,-333.668304,1105.925049,204.578613,-310.490967,978.838135,-18.515505,-225.313217,1023.188232,-36.001358,-290.559509,926.213379,-31.517607,163.412506,1290.865112,162.469391,119.963921,1391.486572,32.854481,222.405914,1284.47998,-60.570541,206.737076,1251.329224,-206.643372,177.816498,1256.227539,-451.978394,99.483559,1300.454346,-453.73645,190.329346,1262.67395,-519.955688,-162.02272,1023.405701,2.573999,-133.359695,1024.080933,199.573669,135.651398,1033.583862,167.718399,107.875114,1027.900391,-47.387917
0.075,-3.280311,1634.042358,33.723587,-14.950585,1584.828369,-62.479668,76.103981,1564.128296,14.623062,21.805687,1388.619385,178.506958,-18.92815,1205.747314,236.95166,90.868469,1206.400269,214.65004,-12.094895,1277.121094,-37.274429,-108.597321,1284.585693,234.792404,-177.133942,1368.645874,103.423447,-253.339355,1182.362793,212.516266,-333.190826,1101.548218,203.985825,-310.217438,977.321838,-20.734602,-224.722641,1021.402466,-37.30703,-290.742462,924.80896,-34.031071,163.568588,1288.932861,164.388794,119.113625,1389.02417,34.304092,221.545105,1281.548584,-58.549496,204.474457,1245.018311,-203.928833,175.497696,1247.743652,-449.219177,96.365265,1287.172485,-449.935608,187.651367,1254.433472,-517.97699,-162.134109,1021.089294,3.725459,-133.296082,1020.277405,200.45047,135.936981,1030.906982,168.388733,107.426544,1025.819092,-47.080574
