Time,Bone_Marker_Sammy:HeadTop_D_Position_X,Bone_Marker_Sammy:HeadTop_D_Position_Y,Bone_Marker_Sammy:HeadTop_D_Position_Z,Bone_Marker_Sammy:HeadFront_E_Position_X,Bone_Marker_Sammy:HeadFront_E_Position_Y,Bone_Marker_Sammy:HeadFront_E_Position_Z,Bone_Marker_Sammy:HeadSide_F_Position_X,Bone_Marker_Sammy:HeadSide_F_Position_Y,Bone_Marker_Sammy:HeadSide_F_Position_Z,Bone_Marker_Sammy:BackTop_9_Position_X,Bone_Marker_Sammy:BackTop_9_Position_Y,Bone_Marker_Sammy:BackTop_9_Position_Z,Bone_Marker_Sammy:BackLeft_A_Position_X,Bone_Marker_Sammy:BackLeft_A_Position_Y,Bone_Marker_Sammy:BackLeft_A_Position_Z,Bone_Marker_Sammy:BackRight_B_Position_X,Bone_Marker_Sammy:BackRight_B_Position_Y,Bone_Marker_Sammy:BackRight_B_Position_Z,Bone_Marker_Sammy:Chest_C_Position_X,Bone_Marker_Sammy:Chest_C_Position_Y,Bone_Marker_Sammy:Chest_C_Position_Z,Bone_Marker_Sammy:LShoulderBack_11_Position_X,Bone_Marker_Sammy:LShoulderBack_11_Position_Y,Bone_Marker_Sammy:LShoulderBack_11_Position_Z,Bone_Marker_Sammy:LShoulderTop_10_Position_X,Bone_Marker_Sammy:LShoulderTop_10_Position_Y,Bone_Marker_Sammy:LShoulderTop_10_Position_Z,Bone_Marker_Sammy:LUArmHigh_13_Position_X,Bone_Marker_Sammy:LUArmHigh_13_Position_Y,Bone_Marker_Sammy:LUArmHigh_13_Position_Z,Bone_Marker_Sammy:LElbowOut_12_Position_X,Bone_Marker_Sammy:LElbowOut_12_Position_Y,Bone_Marker_Sammy:LElbowOut_12_Position_Z,Bone_Marker_Sammy:LWristOut_15_Position_X,Bone_Marker_Sammy:LWristOut_15_Position_Y,Bone_Marker_Sammy:LWristOut_15_Position_Z,Bone_Marker_Sammy:LWristIn_16_Position_X,Bone_Marker_Sammy:LWristIn_16_Position_Y,Bone_Marker_Sammy:LWristIn_16_Position_Z,Bone_Marker_Sammy:LHandOut_14_Position_X,Bone_Marker_Sammy:LHandOut_14_Position_Y,Bone_Marker_Sammy:LHandOut_14_Position_Z,Bone_Marker_Sammy:RShoulderBack_18_Position_X,Bone_Marker_Sammy:RShoulderBack_18_Position_Y,Bone_Marker_Sammy:RShoulderBack_18_Position_Z,Bone_Marker_Sammy:RShoulderTop_17_Position_X,Bone_Marker_Sammy:RShoulderTop_17_Position_Y,Bone_Marker_Sammy:RShoulderTop_17_Position_Z,Bone_Marker_Sammy:RUArmHigh_1A_Position_X,Bone_Marker_Sammy:RUArmHigh_1A_Position_Y,Bone_Marker_Sammy:RUArmHigh_1A_Position_Z,Bone_Marker_Sammy:RElbowOut_19_Position_X,Bone_Marker_Sammy:RElbowOut_19_Position_Y,Bone_Marker_Sammy:RElbowOut_19_Position_Z,Bone_Marker_Sammy:RWristOut_1C_Position_X,Bone_Marker_Sammy:RWristOut_1C_Position_Y,Bone_Marker_Sammy:RWristOut_1C_Position_Z,Bone_Marker_Sammy:RWristIn_1D_Position_X,Bone_Marker_Sammy:RWristIn_1D_Position_Y,Bone_Marker_Sammy:RWristIn_1D_Position_Z,Bone_Marker_Sammy:RHandOut_1B_Position_X,Bone_Marker_Sammy:RHandOut_1B_Position_Y,Bone_Marker_Sammy:RHandOut_1B_Position_Z,Bone_Marker_Sammy:WaistLFront_5_Position_X,Bone_Marker_Sammy:WaistLFront_5_Position_Y,Bone_Marker_Sammy:WaistLFront_5_Position_Z,Bone_Marker_Sammy:WaistLBack_7_Position_X,Bone_Marker_Sammy:WaistLBack_7_Position_Y,Bone_Marker_Sammy:WaistLBack_7_Position_Z,Bone_Marker_Sammy:WaistRBack_8_Position_X,Bone_Marker_Sammy:WaistRBack_8_Position_Y,Bone_Marker_Sammy:WaistRBack_8_Position_Z,Bone_Marker_Sammy:WaistRFront_6_Position_X,Bone_Marker_Sammy:WaistRFront_6_Position_Y,Bone_Marker_Sammy:WaistRFront_6_Position_Z
0.0,8.705993,1695.771118,37.428692,15.936404,1633.596802,126.54953,-73.145927,1626.219849,45.683487,18.436949,1432.020996,-123.078674,74.898369,1250.528198,-172.418854,-27.760614,1246.550537,-178.135254,-22.905987,1317.86084,93.531189,160.595657,1332.614746,-151.030197,194.531021,1414.04834,-0.28831,236.977707,1205.568237,-113.434746,271.973053,1103.128662,-107.924019,290.399323,882.349731,-8.103264,247.984573,903.038269,76.309914,297.836823,807.066345,21.832176,-98.240974,1328.041992,-164.274292,-168.062103,1412.06543,-21.2351,-227.226593,1236.504639,-120.38588,-229.883957,1091.902466,-118.982689,-239.402451,873.042236,-29.660124,-221.064651,907.403015,56.719849,-258.286743,807.348389,-5.011457,149.151978,1052.105347,67.119423,157.699753,1084.784668,-129.630127,-112.764206,1092.419434,-146.177444,-121.760681,1072.634399,70.013618
0.008,8.693341,1695.784302,37.466927,15.911622,1633.585205,126.581566,-73.158401,1626.21582,45.712769,18.447338,1432.035767,-123.051094,74.903,1250.516846,-172.379761,-27.744204,1246.532227,-178.098587,-22.904894,1317.803223,93.456009,160.601395,1332.601807,-150.993958,194.512833,1414.02478,-0.240181,236.950943,1205.541626,-113.387085,271.952667,1103.105835,-107.882408,290.382782,882.313354,-8.068586,247.947128,902.994202,76.331299,297.816498,807.042175,21.866266,-98.216911,1328.03479,-164.256454,-168.063675,1412.053955,-21.225964,-227.214691,1236.481445,-120.369209,-229.884201,1091.884033,-118.976494,-239.422485,873.047546,-29.655739,-221.07579,907.379272,56.726517,-258.302277,807.354919,-4.990148,149.128906,1052.090698,67.171013,157.705887,1084.780884,-129.583267,-112.709106,1092.482666,-146.279053,-121.76667,1072.625977,70.036232
0.017,8.68666,1695.760986,37.506382,15.90191,1633.593262,126.608521,-73.16909,1626.223267,45.717819,18.454664,1432.027344,-123.029266,74.894775,1250.515869,-172.346634,-27.728619,1246.523071,-178.077347,-22.919416,1317.787231,93.487793,160.604935,1332.579834,-150.958771,194.411148,1414.006836,-0.478501,236.950546,1205.529053,-113.3498,271.925476,1103.081909,-107.839394,290.351624,882.273682,-8.035142,247.938889,902.961304,76.451691,297.778168,806.985901,21.856121,-98.208221,1328.018311,-164.246368,-168.052979,1412.025635,-21.267515,-227.218552,1236.477295,-120.375175,-229.889023,1091.864624,-118.963066,-239.454254,873.044312,-29.663836,-221.083771,907.363098,56.745724,-258.327301,807.337219,-4.965178,149.119141,1052.095459,67.235977,157.715118,1084.782349,-129.519989,-112.702362,1092.47583,-146.198334,-121.768677,1072.62561,70.055573
0.025,8.66741,1695.762451,37.526924,15.872277,1633.596558,126.638489,-73.18071,1626.224976,45.725018,18.469938,1432.016602,-123.004601,74.911179,1250.490845,-172.311966,-27.718149,1246.510986,-178.057236,-22.918259,1317.690552,93.29657,160.628769,1332.552124,-150.919952,194.408279,1413.991089,-0.445029,236.936539,1205.504395,-113.308693,271.898712,1103.04895,-107.784729,290.320648,882.265198,-8.011031,247.918121,902.913086,76.348938,297.758179,806.95813,21.931078,-98.192238,1328.001709,-164.229919,-168.04953,1412.006226,-21.265408,-227.204391,1236.435913,-120.375801,-229.887436,1091.814331,-118.960205,-239.461945,873.017517,-29.641911,-221.087418,907.360413,56.763508,-258.340851,807.314514,-4.951375,149.110703,1052.094116,67.30014,157.73735,1084.784058,-129.482544,-112.570038,1092.602661,-146.479263,-121.782715,1072.637939,70.051918
0.033,8.6587,1695.754639,37.539379,15.848732,1633.577759,126.657204,-73.182899,1626.221558,45.730076,18.470121,1432.006592,-122.992867,74.918594,1250.47644,-172.290482,-27.691574,1246.482178,-178.030899,-23.004606,1317.734131,93.597389,160.650803,1332.538208,-150.893326,194.393631,1413.972534,-0.402499,236.92778,1205.477173,-113.266365,271.872162,1103.020996,-107.745537,290.297607,882.221069,-7.982535,247.946838,902.821289,76.37455,297.734833,806.937317,21.967077,-98.171547,1327.978394,-164.236954,-168.065445,1411.978394,-21.246643,-227.189056,1236.401978,-120.372673,-229.873672,1091.787109,-118.960655,-239.470322,873.002686,-29.636787,-221.104004,907.344849,56.783573,-258.358063,807.290344,-4.928997,149.089935,1052.102783,67.369743,157.719894,1084.747803,-129.433807,-112.640602,1092.501709,-146.2491,-121.795349,1072.642334,70.055168
0.042,8.648939,1695.737793,37.574738,15.822741,1633.56897,126.677139,-73.197098,1626.211426,45.770054,18.475653,1431.994141,-122.9823,74.926086,1250.450928,-172.260345,-27.678705,1246.463379,-178.022247,-22.999561,1317.643555,93.37587,160.65506,1332.51123,-150.830139,194.389893,1413.94812,-0.351657,236.905869,1205.450928,-113.232712,271.8367,1102.972412,-107.66172,290.257935,882.184326,-7.930302,247.90509,902.837341,76.512779,297.685486,806.862671,21.985466,-98.153854,1327.957642,-164.235489,-168.054062,1411.953613,-21.268885,-227.180283,1236.37207,-120.400177,-229.842072,1091.749878,-118.962296,-239.492447,872.966675,-29.625742,-221.118301,907.328003,56.792229,-258.366943,807.27179,-4.924898,149.078171,1052.089233,67.435707,157.722061,1084.739136,-129.379745,-112.708176,1092.397949,-146.087769,-121.824738,1072.661621,70.069458
0.05,8.634431,1695.734741,37.567432,15.80604,1633.564209,126.690536,-73.208176,1626.197998,45.766476,18.491774,1431.984253,-122.96814,74.939285,1250.435547,-172.238983,-27.650131,1246.442383,-177.991043,-22.979414,1317.591187,93.323792,160.647141,1332.497559,-150.792313,194.373001,1413.931641,-0.313813,236.904404,1205.434082,-113.198334,271.82019,1102.942627,-107.616501,290.227203,882.176453,-7.862207,247.93866,902.775208,76.55088,297.681244,806.874634,22.063713,-98.131226,1327.940552,-164.235733,-168.061569,1411.935303,-21.295881,-227.159775,1236.351074,-120.424011,-229.824203,1091.71875,-118.961922,-239.478836,872.951355,-29.61507,-221.127014,907.3078,56.810513,-258.376434,807.260376,-4.905342,149.082352,1052.099365,67.503838,157.734894,1084.727051,-129.323822,-112.591766,1092.519409,-146.315903,-121.840988,1072.672607,70.059219
0.058,8.615872,1695.725098,37.586544,15.794123,1633.562256,126.691116,-73.225464,1626.207397,45.782856,18.494312,1431.982666,-122.964172,74.954086,1250.423828,-172.20433,-27.639948,1246.419312,-177.970093,-23.040371,1317.665527,93.553383,160.666565,1332.482178,-150.769165,194.365326,1413.91394,-0.2886,236.901108,1205.417847,-113.148727,271.801086,1102.929199,-107.572624,290.195282,882.165588,-7.803525,247.875763,902.835693,76.666512,297.627777,806.854553,22.149925,-98.108124,1327.923584,-164.237442,-168.085312,1411.930298,-21.265753,-227.13855,1236.329834,-120.456024,-229.768524,1091.718018,-118.973045,-239.460083,872.937195,-29.603619,-221.153702,907.299622,56.832062,-258.375732,807.255371,-4.899992,149.057053,1052.118652,67.571198,157.741257,1084.726196,-129.29393,-112.551659,1092.556763,-146.415848,-121.862083,1072.710327,70.070938
0.067,8.603383,1695.740601,37.58083,15.785141,1633.568848,126.703499,-73.240234,1626.21167,45.768021,18.502695,1431.974854,-122.963005,74.958534,1250.422363,-172.18103,-27.605087,1246.409912,-177.952438,-23.086346,1317.613159,93.437851,160.681,1332.474976,-150.727142,194.358566,1413.917358,-0.243002,236.883392,1205.399658,-113.113174,271.779175,1102.914185,-107.529839,290.165649,882.136841,-7.73593,247.875092,902.77478,76.783669,297.598846,806.845947,22.231003,-98.093475,1327.913818,-164.24263,-168.090225,1411.918823,-21.337112,-227.111893,1236.309937,-120.472557,-229.738235,1091.707031,-118.991501,-239.441299,872.926941,-29.589493,-221.16983,907.310059,56.824234,-258.373108,807.243591,-4.886975,149.06665,1052.12561,67.612663,157.737274,1084.712524,-129.226852,-112.551308,1092.537109,-146.356064,-121.892578,1072.72876,70.065689
0.075,8.580396,1695.742676,37.602497,15.763236,1633.564087,126.716568,-73.269539,1626.21167,45.729691,18.50691,1431.96814,-122.942146,74.964134,1250.401855,-172.147507,-27.586102,1246.394165,-177.942825,-23.128752,1317.625977,93.49485,160.682892,1332.452393,-150.692673,194.345139,1413.911621,-0.216628,236.887817,1205.384888,-113.066856,271.773285,1102.899658,-107.465492,290.125092,882.148438,-7.639913,247.87587,902.721741,76.683357,297.562439,806.830811,22.321728,-98.081421,1327.902466,-164.246307,-168.09967,1411.900635,-21.347233,-227.09285,1236.283447,-120.483994,-229.698807,1091.66333,-118.987335,-239.446289,872.912231,-29.5872,-221.177643,907.292847,56.845886,-258.349304,807.225403,-4.876607,149.0448,1052.147949,67.685921,157.749802,1084.70166,-129.189789,-112.5924,1092.507568,-146.282425,-121.925987,1072.744141,70.065773
