Time,Bone_Marker_Sammy:HeadTop_D_Position_X,Bone_Marker_Sammy:HeadTop_D_Position_Y,Bone_Marker_Sammy:HeadTop_D_Position_Z,Bone_Marker_Sammy:HeadFront_E_Position_X,Bone_Marker_Sammy:HeadFront_E_Position_Y,Bone_Marker_Sammy:HeadFront_E_Position_Z,Bone_Marker_Sammy:HeadSide_F_Position_X,Bone_Marker_Sammy:HeadSide_F_Position_Y,Bone_Marker_Sammy:HeadSide_F_Position_Z,Bone_Marker_Sammy:BackTop_9_Position_X,Bone_Marker_Sammy:BackTop_9_Position_Y,Bone_Marker_Sammy:BackTop_9_Position_Z,Bone_Marker_Sammy:BackLeft_A_Position_X,Bone_Marker_Sammy:BackLeft_A_Position_Y,Bone_Marker_Sammy:BackLeft_A_Position_Z,Bone_Marker_Sammy:BackRight_B_Position_X,Bone_Marker_Sammy:BackRight_B_Position_Y,Bone_Marker_Sammy:BackRight_B_Position_Z,Bone_Marker_Sammy:Chest_C_Position_X,Bone_Marker_Sammy:Chest_C_Position_Y,Bone_Marker_Sammy:Chest_C_Position_Z,Bone_Marker_Sammy:LShoulderBack_11_Position_X,Bone_Marker_Sammy:LShoulderBack_11_Position_Y,Bone_Marker_Sammy:LShoulderBack_11_Position_Z,Bone_Marker_Sammy:LShoulderTop_10_Position_X,Bone_Marker_Sammy:LShoulderTop_10_Position_Y,Bone_Marker_Sammy:LShoulderTop_10_Position_Z,Bone_Marker_Sammy:LUArmHigh_13_Position_X,Bone_Marker_Sammy:LUArmHigh_13_Position_Y,Bone_Marker_Sammy:LUArmHigh_13_Position_Z,Bone_Marker_Sammy:LElbowOut_12_Position_X,Bone_Marker_Sammy:LElbowOut_12_Position_Y,Bone_Marker_Sammy:LElbowOut_12_Position_Z,Bone_Marker_Sammy:LWristOut_15_Position_X,Bone_Marker_Sammy:LWristOut_15_Position_Y,Bone_Marker_Sammy:LWristOut_15_Position_Z,Bone_Marker_Sammy:LWristIn_16_Position_X,Bone_Marker_Sammy:LWristIn_16_Position_Y,Bone_Marker_Sammy:LWristIn_16_Position_Z,Bone_Marker_Sammy:LHandOut_14_Position_X,Bone_Marker_Sammy:LHandOut_14_Position_Y,Bone_Marker_Sammy:LHandOut_14_Position_Z,Bone_Marker_Sammy:RShoulderBack_18_Position_X,Bone_Marker_Sammy:RShoulderBack_18_Position_Y,Bone_Marker_Sammy:RShoulderBack_18_Position_Z,Bone_Marker_Sammy:RShoulderTop_17_Position_X,Bone_Marker_Sammy:RShoulderTop_17_Position_Y,Bone_Marker_Sammy:RShoulderTop_17_Position_Z,Bone_Marker_Sammy:RUArmHigh_1A_Position_X,Bone_Marker_Sammy:RUArmHigh_1A_Position_Y,Bone_Marker_Sammy:RUArmHigh_1A_Position_Z,Bone_Marker_Sammy:RElbowOut_19_Position_X,Bone_Marker_Sammy:RElbowOut_19_Position_Y,Bone_Marker_Sammy:RElbowOut_19_Position_Z,Bone_Marker_Sammy:RWristOut_1C_Position_X,Bone_Marker_Sammy:RWristOut_1C_Position_Y,Bone_Marker_Sammy:RWristOut_1C_Position_Z,Bone_Marker_Sammy:RWristIn_1D_Position_X,Bone_Marker_Sammy:RWristIn_1D_Position_Y,Bone_Marker_Sammy:RWristIn_1D_Position_Z,Bone_Marker_Sammy:RHandOut_1B_Position_X,Bone_Marker_Sammy:RHandOut_1B_Position_Y,Bone_Marker_Sammy:RHandOut_1B_Position_Z,Bone_Marker_Sammy:WaistLFront_5_Position_X,Bone_Marker_Sammy:WaistLFront_5_Position_Y,Bone_Marker_Sammy:WaistLFront_5_Position_Z,Bone_Marker_Sammy:WaistLBack_7_Position_X,Bone_Marker_Sammy:WaistLBack_7_Position_Y,Bone_Marker_Sammy:WaistLBack_7_Position_Z,Bone_Marker_Sammy:WaistRBack_8_Position_X,Bone_Marker_Sammy:WaistRBack_8_Position_Y,Bone_Marker_Sammy:WaistRBack_8_Position_Z,Bone_Marker_Sammy:WaistRFront_6_Position_X,Bone_Marker_Sammy:WaistRFront_6_Position_Y,Bone_Marker_Sammy:WaistRFront_6_Position_Z
0.0,10.941422,1702.248657,-47.504375,16.045464,1647.184937,45.761459,-71.204315,1633.336548,-37.358917,24.590628,1433.244141,-184.885849,79.934967,1252.498291,-225.414474,-23.382027,1248.539307,-233.339569,-18.607897,1330.806396,36.883228,166.929688,1335.276978,-203.648392,197.897141,1415.608643,-53.792973,248.729507,1212.536621,-154.339539,284.968872,1111.876465,-135.289886,293.859467,889.420654,-24.458858,227.690338,907.335388,43.368885,297.210693,813.519409,10.817579,-95.753334,1331.53064,-223.455673,-157.778519,1414.485107,-80.699387,-229.188736,1244.565918,-171.029388,-240.194321,1104.149536,-164.69809,-253.16304,882.150879,-63.71949,-213.917801,916.108887,14.891436,-270.740204,819.478027,-32.237598,150.071915,1055.491577,23.301517,159.920761,1085.810303,-174.459229,-104.833122,1096.761108,-197.493362,-122.519142,1080.63855,17.97563
0.008,10.968412,1702.255981,-47.470036,16.074553,1647.165283,45.779427,-71.174561,1633.34436,-37.342663,24.607409,1433.246704,-184.877197,79.937904,1252.498535,-225.425079,-23.397734,1248.555298,-233.334137,-18.606623,1330.846802,36.942562,166.953384,1335.29187,-203.638992,197.911774,1415.614868,-53.768124,248.746796,1212.528809,-154.315628,284.965973,1111.864136,-135.255005,293.803406,889.418274,-24.44174,227.634552,907.326843,43.315075,297.161469,813.522705,10.853476,-95.767075,1331.551758,-223.436966,-157.776779,1414.509033,-80.67408,-229.164612,1244.623291,-171.094513,-240.190857,1104.167236,-164.662476,-253.111572,882.172852,-63.646965,-213.848175,916.163025,14.928572,-270.643921,819.501038,-32.149559,150.074875,1055.482422,23.284409,159.914215,1085.821899,-174.487595,-104.853409,1096.774048,-197.512604,-122.53801,1080.620117,17.960842
0.017,11.037424,1702.270752,-47.371445,16.095051,1647.148438,45.804642,-71.135567,1633.341309,-37.338154,24.623234,1433.262207,-184.867615,79.932152,1252.52124,-225.420197,-23.402433,1248.586792,-233.323944,-18.596485,1330.869873,36.980946,166.972443,1335.304077,-203.629639,197.926926,1415.631836,-53.753586,248.778763,1212.537964,-154.273331,284.966888,1111.861816,-135.212906,293.75531,889.416138,-24.405209,227.571548,907.355469,43.48745,297.088989,813.511902,10.881103,-95.767006,1331.573242,-223.412872,-157.763657,1414.546753,-80.640427,-229.188507,1244.659302,-171.088623,-240.212936,1104.198608,-164.625229,-253.075211,882.202759,-63.563877,-213.767746,916.2005,14.977479,-270.557831,819.531372,-32.038811,150.079407,1055.483032,23.242748,159.884781,1085.829346,-174.493042,-104.856789,1096.777344,-197.520782,-122.549622,1080.614502,17.966124
0.025,11.068089,1702.259033,-47.335606,16.112133,1647.128906,45.824921,-71.112671,1633.358521,-37.291218,24.631086,1433.275879,-184.846313,79.936989,1252.54834,-225.421936,-23.42156,1248.630981,-233.311966,-18.580723,1330.888672,37.004959,167.001694,1335.313721,-203.612366,197.94902,1415.642212,-53.735428,248.796829,1212.54126,-154.255203,284.98288,1111.865723,-135.177994,293.699554,889.421265,-24.372629,227.5121,907.342896,43.448116,297.03183,813.502197,10.928928,-95.772507,1331.609619,-223.402985,-157.755997,1414.588379,-80.607018,-229.197006,1244.704712,-171.037643,-240.208542,1104.234863,-164.574203,-253.013885,882.256348,-63.514256,-213.696808,916.249695,15.031643,-270.459412,819.587219,-31.94239,150.068954,1055.468994,23.238407,159.890045,1085.857788,-174.51976,-104.88855,1096.812622,-197.553513,-122.560486,1080.605591,17.964777
0.033,11.131091,1702.293945,-47.263725,16.150997,1647.108398,45.842243,-71.067657,1633.341919,-37.207947,24.639137,1433.294556,-184.842422,79.943565,1252.571289,-225.430023,-23.441626,1248.662354,-233.31015,-18.580097,1330.907959,36.994305,167.003677,1335.328613,-203.601517,197.967468,1415.654541,-53.722649,248.844131,1212.564453,-154.218033,284.984985,1111.879639,-135.140289,293.642029,889.417236,-24.315567,227.476318,907.352295,43.500507,296.966034,813.504578,10.958117,-95.784592,1331.651367,-223.394608,-157.748138,1414.641357,-80.584572,-229.268433,1244.701294,-170.821335,-240.227676,1104.276245,-164.527863,-252.938187,882.309631,-63.431458,-213.624695,916.300476,15.058502,-270.361877,819.624146,-31.825253,150.061905,1055.468994,23.21681,159.8909,1085.866699,-174.544052,-104.89505,1096.834351,-197.575409,-122.576691,1080.613525,17.966974
0.042,11.170665,1702.300049,-47.239708,16.192911,1647.10498,45.859306,-71.030785,1633.347412,-37.220112,24.662954,1433.303955,-184.819992,79.946045,1252.581787,-225.430359,-23.447737,1248.694214,-233.304489,-18.553844,1330.9646,36.992165,167.014481,1335.334717,-203.58905,197.998459,1415.666992,-53.709927,248.863632,1212.567627,-154.200668,284.981964,1111.870239,-135.12178,293.594513,889.407837,-24.273478,227.436722,907.359192,43.580353,296.894501,813.49353,11.002185,-95.789841,1331.678711,-223.362427,-157.729675,1414.685303,-80.551231,-229.275604,1244.742188,-170.804352,-240.223557,1104.319824,-164.486084,-252.874283,882.360168,-63.311466,-213.56102,916.351318,15.085621,-270.25824,819.657471,-31.744839,150.072968,1055.471069,23.196732,159.879105,1085.873901,-174.571716,-104.89283,1096.851196,-197.611176,-122.603989,1080.62146,17.97179
0.05,11.208525,1702.304688,-47.20985,16.239462,1647.101318,45.886002,-71.003944,1633.361084,-37.225445,24.666597,1433.30603,-184.802414,79.946381,1252.584351,-225.429932,-23.472128,1248.711182,-233.303101,-18.542692,1331.005859,37.017628,167.02034,1335.335327,-203.57756,198.022644,1415.674561,-53.693958,248.873077,1212.563232,-154.17662,284.964447,1111.857788,-135.099716,293.566864,889.390381,-24.229799,227.391388,907.315552,43.440819,296.828339,813.483215,11.029289,-95.805588,1331.709351,-223.334641,-157.713379,1414.717163,-80.522675,-229.303467,1244.756714,-170.698776,-240.239761,1104.352905,-164.441116,-252.823807,882.420044,-63.254223,-213.505829,916.417603,15.158474,-270.176361,819.680237,-31.656704,150.070511,1055.461914,23.174231,159.87619,1085.890625,-174.606979,-104.908218,1096.872803,-197.629425,-122.602264,1080.610474,17.951031
0.058,11.254497,1702.301514,-47.158684,16.286512,1647.086182,45.910793,-70.975708,1633.368286,-37.207413,24.679173,1433.322021,-184.774612,79.942024,1252.598511,-225.419479,-23.480925,1248.737183,-233.294785,-18.518343,1331.023682,37.067013,167.017731,1335.347412,-203.57962,198.04892,1415.682007,-53.677307,248.87587,1212.563599,-154.159912,284.948181,1111.85791,-135.082275,293.507263,889.389343,-24.21221,227.303284,907.37677,43.566383,296.781799,813.477539,11.069097,-95.809906,1331.735352,-223.312851,-157.686493,1414.745361,-80.484436,-229.279007,1244.845459,-170.789124,-240.253632,1104.3927,-164.386566,-252.772842,882.471741,-63.144184,-213.426788,916.479309,15.222174,-270.106323,819.719055,-31.573803,150.084488,1055.45813,23.170113,159.871674,1085.898804,-174.618332,-104.92952,1096.878418,-197.633377,-122.629036,1080.613403,17.949711
0.067,11.299379,1702.32373,-47.122505,16.325642,1647.076538,45.936718,-70.928772,1633.377563,-37.148952,24.680277,1433.3479,-184.754059,79.934082,1252.619873,-225.403656,-23.497339,1248.768555,-233.291092,-18.495657,1331.047119,37.135593,167.023651,1335.364746,-203.560318,198.09407,1415.697998,-53.6628,248.884521,1212.575073,-154.151077,284.935242,1111.849854,-135.07312,293.456177,889.398804,-24.171423,227.27388,907.323975,43.490993,296.724304,813.47522,11.107865,-95.815643,1331.769897,-223.256699,-157.635803,1414.807617,-80.376915,-229.314148,1244.900146,-170.694382,-240.275574,1104.439453,-164.349365,-252.706223,882.519226,-63.050121,-213.360153,916.526245,15.278618,-270.038116,819.750793,-31.479433,150.091583,1055.436035,23.158346,159.866959,1085.926636,-174.629364,-104.957199,1096.912964,-197.666229,-122.639091,1080.603027,17.942335
0.075,11.340507,1702.345459,-47.08886,16.372015,1647.079712,45.977455,-70.878105,1633.382202,-37.021832,24.711111,1433.37146,-184.718582,79.946304,1252.650635,-225.416168,-23.513084,1248.829224,-233.292084,-18.462267,1331.066895,37.185143,167.048538,1335.392822,-203.543747,198.147217,1415.716553,-53.643398,248.876221,1212.576416,-154.143051,284.924683,1111.85437,-135.046906,293.396118,889.393433,-24.165934,227.232925,907.333191,43.55859,296.687408,813.487183,11.122889,-95.810303,1331.809692,-223.228134,-157.620499,1414.842529,-80.323929,-229.296173,1244.981445,-170.731491,-240.304337,1104.488281,-164.27092,-252.657776,882.576111,-62.967979,-213.292877,916.571045,15.350048,-269.971527,819.779541,-31.365726,150.112915,1055.43042,23.1355,159.867706,1085.950562,-174.661514,-104.970901,1096.933228,-197.682663,-122.642334,1080.58313,17.946426
0.083,11.374254,1702.342651,-47.068233,16.410431,1647.074097,46.006405,-70.85479,1633.390747,-37.011379,24.748545,1433.402954,-184.701157,79.953384,1252.685303,-225.398407,-23.524446,1248.870728,-233.296371,-18.441381,1331.088135,37.254498,167.080933,1335.409668,-203.521927,198.192505,1415.728027,-53.613708,248.883255,1212.569092,-154.132645,284.932556,1111.856323,-135.046478,293.332062,889.36377,-24.156467,227.155121,907.365479,43.603523,296.629181,813.493774,11.131721,-95.810356,1331.860596,-223.21521,-157.596527,1414.886841,-80.278076,-229.32428,1245.024414,-170.639877,-240.314468,1104.520508,-164.231339,-252.612473,882.632751,-62.877731,-213.237762,916.632507,15.446723,-269.92749,819.818604,-31.266357,150.116318,1055.423706,23.116629,159.846207,1085.95459,-174.669418,-104.975815,1096.953613,-197.691971,-122.66951,1080.599121,17.93775
0.092,11.397538,1702.354614,-47.041286,16.439917,1647.069092,46.028515,-70.815994,1633.378418,-37.049889,24.774403,1433.424072,-184.690247,79.975609,1252.702637,-225.40155,-23.501183,1248.902466,-233.281815,-18.411093,1331.118896,37.30621,167.108215,1335.426392,-203.50206,198.227585,1415.727661,-53.586742,248.886765,1212.563354,-154.118591,284.927277,1111.8479,-135.029129,293.281891,889.362305,-24.167389,227.130341,907.352722,43.574589,296.583191,813.48999,11.111293,-95.808929,1331.910156,-223.205353,-157.572937,1414.936401,-80.236206,-229.330093,1245.060181,-170.594955,-240.334137,1104.557251,-164.16835,-252.566132,882.668152,-62.791138,-213.17897,916.697449,15.498655,-269.889008,819.864319,-31.175394,150.134048,1055.425049,23.114292,159.827682,1085.963379,-174.688004,-105.001472,1096.982422,-197.721115,-122.671753,1080.606445,17.943722
0.1,11.429983,1702.357056,-46.996113,16.462318,1647.061646,46.056446,-70.777863,1633.36731,-36.973808,24.797661,1433.442749,-184.671143,79.992661,1252.731201,-225.396774,-23.530571,1248.936279,-233.279724,-18.394144,1331.132202,37.347687,167.146439,1335.446045,-203.48143,198.247589,1415.724365,-53.557865,248.926682,1212.572632,-154.103867,284.932251,1111.838989,-135.017609,293.238037,889.359802,-24.184038,227.110229,907.344177,43.541378,296.541992,813.467346,11.111629,-95.78817,1331.948975,-223.18576,-157.553207,1414.984741,-80.182068,-229.365845,1245.090698,-170.493408,-240.347992,1104.593872,-164.118179,-252.555496,882.71405,-62.714733,-213.134155,916.750244,15.56396,-269.839996,819.895325,-31.074219,150.161285,1055.425903,23.095434,159.820068,1085.991455,-174.711838,-105.021866,1097.003784,-197.745804,-122.700119,1080.609619,17.957224
0.108,11.471039,1702.360229,-46.96376,16.501328,1647.046387,46.092495,-70.731773,1633.37561,-36.889076,24.824249,1433.471191,-184.656769,79.994621,1252.754272,-225.391861,-23.521305,1248.973633,-233.261948,-18.385857,1331.153687,37.387787,167.169067,1335.466675,-203.464249,198.265564,1415.718018,-53.517269,248.949554,1212.592896,-154.068222,284.927521,1111.841431,-134.997757,293.195099,889.350098,-24.183321,227.040604,907.337158,43.579571,296.491455,813.457214,11.127977,-95.810074,1332.01416,-223.183197,-157.536041,1415.039673,-80.145134,-229.406418,1245.120239,-170.371048,-240.366837,1104.641968,-164.049866,-252.607407,882.826599,-62.676674,-213.080978,916.817322,15.653515,-269.807617,819.952148,-30.988728,150.148819,1055.418213,23.097301,159.811539,1086.017944,-174.718033,-105.032227,1097.010498,-197.742783,-122.70797,1080.602905,17.965698
0.117,11.516458,1702.367798,-46.93821,16.542847,1647.045166,46.11739,-70.702354,1633.385498,-36.879948,24.836412,1433.492676,-184.65036,80.006096,1252.768921,-225.388138,-23.540091,1249.001709,-233.256424,-18.363903,1331.178711,37.404602,167.208984,1335.482544,-203.454071,198.291122,1415.717529,-53.502232,248.973831,1212.614502,-154.056198,284.940765,1111.83667,-134.998276,293.187347,889.352173,-24.175722,227.031036,907.35083,43.570385,296.455566,813.435486,11.132912,-95.822777,1332.057861,-223.166,-157.522644,1415.094849,-80.113419,-229.435272,1245.16394,-170.233627,-240.383469,1104.692139,-163.987411,-252.601059,882.880493,-62.60878,-213.048553,916.884766,15.716132,-269.802307,820.007202,-30.909349,150.170074,1055.414185,23.095791,159.793137,1086.03064,-174.729858,-105.054619,1097.039795,-197.76561,-122.720955,1080.607788,17.973862
0.125,11.553389,1702.377075,-46.914005,16.565142,1647.015869,46.146797,-70.654289,1633.389404,-36.883705,24.855965,1433.500244,-184.648422,80.000443,1252.781372,-225.385361,-23.555347,1249.031006,-233.243958,-18.344606,1331.201782,37.433208,167.219116,1335.483643,-203.452057,198.318161,1415.72229,-53.501663,249.009918,1212.614746,-154.034607,284.953491,1111.827271,-134.995697,293.162598,889.328186,-24.164816,227.013077,907.346558,43.662655,296.42392,813.416016,11.127522,-95.838997,1332.101074,-223.135895,-157.501389,1415.154419,-80.068405,-229.374573,1245.275024,-170.355164,-240.392761,1104.774902,-163.918396,-252.610718,882.956482,-62.544434,-212.994217,916.968079,15.78313,-269.79541,820.0672,-30.802355,150.184647,1055.416016,23.101118,159.797806,1086.05603,-174.743515,-105.087906,1097.055176,-197.787186,-122.729713,1080.619629,17.976086
0.133,11.600763,1702.379272,-46.878559,16.610237,1647.001343,46.175415,-70.610672,1633.390747,-36.872272,24.873465,1433.506104,-184.654022,79.994873,1252.795044,-225.39505,-23.56727,1249.05127,-233.247818,-18.330547,1331.275879,37.431355,167.235123,1335.483765,-203.456741,198.341339,1415.719482,-53.518734,249.036133,1212.61145,-154.025604,284.980621,1111.817749,-134.997131,293.17514,889.305786,-24.163132,227.000793,907.33197,43.661674,296.411041,813.396606,11.114929,-95.857056,1332.140625,-223.121414,-157.485214,1415.208008,-80.047447,-229.389801,1245.329224,-170.245209,-240.40892,1104.834473,-163.875,-252.597092,883.039917,-62.465214,-212.957016,917.042358,15.825026,-269.777618,820.129822,-30.713646,150.209076,1055.413574,23.09897,159.792145,1086.083252,-174.771393,-105.097153,1097.074097,-197.777634,-122.720352,1080.623413,17.99547
