Time,Bone_Marker_Sammy:HeadTop_D_Position_X,Bone_Marker_Sammy:HeadTop_D_Position_Y,Bone_Marker_Sammy:HeadTop_D_Position_Z,Bone_Marker_Sammy:HeadFront_E_Position_X,Bone_Marker_Sammy:HeadFront_E_Position_Y,Bone_Marker_Sammy:HeadFront_E_Position_Z,Bone_Marker_Sammy:HeadSide_F_Position_X,Bone_Marker_Sammy:HeadSide_F_Position_Y,Bone_Marker_Sammy:HeadSide_F_Position_Z,Bone_Marker_Sammy:BackTop_9_Position_X,Bone_Marker_Sammy:BackTop_9_Position_Y,Bone_Marker_Sammy:BackTop_9_Position_Z,Bone_Marker_Sammy:BackLeft_A_Position_X,Bone_Marker_Sammy:BackLeft_A_Position_Y,Bone_Marker_Sammy:BackLeft_A_Position_Z,Bone_Marker_Sammy:BackRight_B_Position_X,Bone_Marker_Sammy:BackRight_B_Position_Y,Bone_Marker_Sammy:BackRight_B_Position_Z,Bone_Marker_Sammy:Chest_C_Position_X,Bone_Marker_Sammy:Chest_C_Position_Y,Bone_Marker_Sammy:Chest_C_Position_Z,Bone_Marker_Sammy:LShoulderBack_11_Position_X,Bone_Marker_Sammy:LShoulderBack_11_Position_Y,Bone_Marker_Sammy:LShoulderBack_11_Position_Z,Bone_Marker_Sammy:LShoulderTop_10_Position_X,Bone_Marker_Sammy:LShoulderTop_10_Position_Y,Bone_Marker_Sammy:LShoulderTop_10_Position_Z,Bone_Marker_Sammy:LUArmHigh_13_Position_X,Bone_Marker_Sammy:LUArmHigh_13_Position_Y,Bone_Marker_Sammy:LUArmHigh_13_Position_Z,Bone_Marker_Sammy:LElbowOut_12_Position_X,Bone_Marker_Sammy:LElbowOut_12_Position_Y,Bone_Marker_Sammy:LElbowOut_12_Position_Z,Bone_Marker_Sammy:LWristOut_15_Position_X,Bone_Marker_Sammy:LWristOut_15_Position_Y,Bone_Marker_Sammy:LWristOut_15_Position_Z,Bone_Marker_Sammy:LWristIn_16_Position_X,Bone_Marker_Sammy:LWristIn_16_Position_Y,Bone_Marker_Sammy:LWristIn_16_Position_Z,Bone_Marker_Sammy:LHandOut_14_Position_X,Bone_Marker_Sammy:LHandOut_14_Position_Y,Bone_Marker_Sammy:LHandOut_14_Position_Z,Bone_Marker_Sammy:RShoulderBack_18_Position_X,Bone_Marker_Sammy:RShoulderBack_18_Position_Y,Bone_Marker_Sammy:RShoulderBack_18_Position_Z,Bone_Marker_Sammy:RShoulderTop_17_Position_X,Bone_Marker_Sammy:RShoulderTop_17_Position_Y,Bone_Marker_Sammy:RShoulderTop_17_Position_Z,Bone_Marker_Sammy:RUArmHigh_1A_Position_X,Bone_Marker_Sammy:RUArmHigh_1A_Position_Y,Bone_Marker_Sammy:RUArmHigh_1A_Position_Z,Bone_Marker_Sammy:RElbowOut_19_Position_X,Bone_Marker_Sammy:RElbowOut_19_Position_Y,Bone_Marker_Sammy:RElbowOut_19_Position_Z,Bone_Marker_Sammy:RWristOut_1C_Position_X,Bone_Marker_Sammy:RWristOut_1C_Position_Y,Bone_Marker_Sammy:RWristOut_1C_Position_Z,Bone_Marker_Sammy:RWristIn_1D_Position_X,Bone_Marker_Sammy:RWristIn_1D_Position_Y,Bone_Marker_Sammy:RWristIn_1D_Position_Z,Bone_Marker_Sammy:RHandOut_1B_Position_X,Bone_Marker_Sammy:RHandOut_1B_Position_Y,Bone_Marker_Sammy:RHandOut_1B_Position_Z,Bone_Marker_Sammy:WaistLFront_5_Position_X,Bone_Marker_Sammy:WaistLFront_5_Position_Y,Bone_Marker_Sammy:WaistLFront_5_Position_Z,Bone_Marker_Sammy:WaistLBack_7_Position_X,Bone_Marker_Sammy:WaistLBack_7_Position_Y,Bone_Marker_Sammy:WaistLBack_7_Position_Z,Bone_Marker_Sammy:WaistRBack_8_Position_X,Bone_Marker_Sammy:WaistRBack_8_Position_Y,Bone_Marker_Sammy:WaistRBack_8_Position_Z,Bone_Marker_Sammy:WaistRFront_6_Position_X,Bone_Marker_Sammy:WaistRFront_6_Position_Y,Bone_Marker_Sammy:WaistRFront_6_Position_Z
0.0,6.247858,1678.622803,-120.884506,18.150902,1641.953369,-18.773657,-71.596024,1609.376953,-94.476326,25.130848,1430.123047,-221.378845,85.344658,1256.745605,-280.382141,-23.723038,1248.393311,-280.618958,-3.314026,1292.744019,-2.557584,175.117462,1339.99231,-246.330505,186.204102,1403.167114,-88.841103,277.87384,1204.798096,-176.321625,305.55307,1099.274292,-142.943802,221.976944,931.199402,34.952641,210.117722,1003.209717,97.15477,197.324402,883.432922,98.970169,-100.083191,1325.709595,-253.703125,-139.81189,1396.503174,-98.30101,-230.87355,1224.976929,-161.401077,-231.048141,1078.379883,-135.706268,,,,-153.552292,997.193298,104.199326,-114.154572,873.565369,110.011963,172.339355,1056.016602,-31.027014,169.977936,1062.32373,-233.357727,-104.370026,1072.365723,-236.927002,-106.104416,1076.19397,-16.280001
0.008,6.137708,1678.611938,-120.946823,18.063324,1641.967041,-18.830603,-71.679375,1609.36731,-94.553162,25.049936,1430.118408,-221.425262,85.282845,1256.730469,-280.407501,-23.767736,1248.365723,-280.662384,-3.37804,1292.694092,-2.613134,175.042191,1340.000854,-246.37114,186.121536,1403.155518,-88.885498,277.80307,1204.781006,-176.366287,305.481171,1099.272095,-142.969681,221.92276,931.177734,34.914867,210.062103,1003.163452,97.123238,197.233917,883.383484,98.888596,-100.128922,1325.673706,-253.750946,-139.886734,1396.444336,-98.35257,-230.873566,1224.898682,-161.455612,-231.018906,1078.287842,-135.723053,,,,-153.557877,997.138794,104.198883,-114.132324,873.503113,110.01329,172.304169,1055.996094,-31.039576,169.942368,1062.299561,-233.382217,-104.391548,1072.348511,-236.96582,-106.121384,1076.167603,-16.364584
0.017,6.040245,1678.596313,-121.012466,17.957237,1641.961426,-18.944767,-71.751045,1609.361084,-94.571007,24.984234,1430.096802,-221.447128,85.242348,1256.726807,-280.434479,-23.803705,1248.333008,-280.692047,-3.461296,1292.634766,-2.666478,174.959305,1339.969238,-246.378433,186.037277,1403.144531,-88.909538,277.714539,1204.751953,-176.395065,305.411987,1099.269531,-143.004654,221.870529,931.162598,34.851929,210.022461,1003.13446,97.105324,197.206573,883.331116,98.835754,-100.186745,1325.636475,-253.807388,-139.969315,1396.381592,-98.409462,-230.90979,1224.784912,-161.404022,-230.990356,1078.201172,-135.770645,,,,-153.55275,997.071533,104.182419,-114.103683,873.429688,109.996948,172.272522,1056.012451,-31.061852,169.915436,1062.272095,-233.403366,-104.41761,1072.317139,-236.995377,-106.165154,1076.156494,-16.415792
0.025,5.939872,1678.589722,-121.063171,17.869644,1641.971069,-18.998014,-71.842239,1609.345581,-94.578339,24.896093,1430.09082,-221.48526,85.182663,1256.722534,-280.473846,-23.894613,1248.345459,-280.792328,-3.540491,1292.57605,-2.730645,174.882492,1339.97229,-246.399002,185.94548,1403.131958,-88.94857,277.635559,1204.742065,-176.401825,305.339233,1099.257446,-143.021271,221.813309,931.130981,34.819702,209.983231,1003.096558,97.07206,197.19133,883.260254,98.794746,-100.24469,1325.5802,-253.843369,-140.057709,1396.310425,-98.445274,-230.927399,1224.750122,-161.538681,-230.970627,1078.109741,-135.789612,,,,-153.547653,996.995972,104.158516,-114.087868,873.338745,109.991127,172.214615,1056.016846,-31.090437,169.879883,1062.259277,-233.422775,-104.444801,1072.312988,-237.030853,-106.164001,1076.14502,-16.484322
0.033,5.83413,1678.575928,-121.151726,17.76638,1641.970703,-19.05443,-71.912964,1609.350952,-94.559303,24.807241,1430.082153,-221.527771,85.124146,1256.719238,-280.493164,-23.92942,1248.328613,-280.826843,-3.614953,1292.522217,-2.822931,174.816162,1339.97937,-246.420563,185.869171,1403.137573,-88.9758,277.576508,1204.746216,-176.428452,305.266785,1099.264404,-143.048737,221.782623,931.122375,34.776237,209.93364,1003.038757,97.04995,197.163681,883.213379,98.721664,-100.312576,1325.539795,-253.885681,-140.138763,1396.242676,-98.514038,-230.927704,1224.666016,-161.685806,-230.956894,1078.029907,-135.83606,,,,-153.552505,996.945618,104.162186,-114.062675,873.270752,109.988297,172.178879,1056.000854,-31.102079,169.854813,1062.253662,-233.434784,-104.471794,1072.302979,-237.063583,-106.225075,1076.127808,-16.5075
0.042,5.743953,1678.577637,-121.220924,17.671047,1641.98291,-19.097694,-72.008781,1609.351318,-94.577469,24.722414,1430.069824,-221.558014,85.069984,1256.716553,-280.518982,-23.981031,1248.290771,-280.878998,-3.690628,1292.445435,-2.898421,174.752258,1339.984009,-246.453949,185.782242,1403.132202,-89.00293,277.507965,1204.767578,-176.437515,305.199677,1099.265869,-143.071472,221.731995,931.104309,34.749332,209.865707,1002.984985,97.025383,197.111084,883.203979,98.647781,-100.364418,1325.497681,-253.920044,-140.221176,1396.174805,-98.560829,-230.980286,1224.575684,-161.652298,-230.928375,1077.941406,-135.872559,,,,-153.546967,996.892883,104.159111,-114.029976,873.182007,109.926277,172.115555,1056.002441,-31.117746,169.817612,1062.244507,-233.445206,-104.497566,1072.293213,-237.087265,-106.213531,1076.113525,-16.594786
0.05,5.629894,1678.564453,-121.270508,17.579821,1642.004395,-19.100197,-72.087112,1609.352539,-94.580154,24.637417,1430.062012,-221.598587,85.004181,1256.71582,-280.541229,-24.041298,1248.271362,-280.910736,-3.763332,1292.40332,-2.948135,174.693436,1339.990356,-246.481842,185.697128,1403.131592,-89.03286,277.444305,1204.767212,-176.452194,305.118439,1099.271362,-143.092819,221.6884,931.067383,34.720276,209.836029,1002.944458,96.991989,197.1297,883.123901,98.641258,-100.387749,1325.445801,-253.964447,-140.347321,1396.109497,-98.617867,-231.022079,1224.484375,-161.654602,-230.905228,1077.844727,-135.926315,,,,-153.54924,996.833862,104.163284,-114.013084,873.11792,109.913773,172.089661,1056.020752,-31.131351,169.777847,1062.228027,-233.454407,-104.521355,1072.275757,-237.119919,-106.246582,1076.107422,-16.635523
0.058,5.524899,1678.561523,-121.326988,17.469389,1642.009888,-19.147636,-72.164803,1609.349487,-94.611481,24.569431,1430.057495,-221.632736,84.964104,1256.712769,-280.569763,-24.067726,1248.231323,-280.958282,-3.839693,1292.356812,-2.990919,174.62616,1339.98938,-246.516235,185.625259,1403.130005,-89.086449,277.39679,1204.784302,-176.474518,305.062714,1099.284424,-143.109802,221.65657,931.039307,34.673317,209.801346,1002.936218,96.966537,197.025894,883.180786,98.532585,-100.445679,1325.415405,-254.013596,-140.435745,1396.021118,-98.707764,-230.997009,1224.386108,-161.782516,-230.88121,1077.753662,-135.949249,,,,-153.532593,996.757019,104.162468,-114.002899,873.051453,109.90126,172.065994,1056.02063,-31.140047,169.740997,1062.22229,-233.459366,-104.554283,1072.251343,-237.135773,-106.266663,1076.090088,-16.676517
0.067,5.34983,1678.561279,-121.334793,17.349062,1642.016235,-19.182976,-72.261871,1609.343872,-94.638092,24.499115,1430.056885,-221.662003,84.923599,1256.711304,-280.592743,-24.121857,1248.232544,-280.994629,-3.940221,1292.30896,-3.04905,174.577377,1340.006226,-246.555389,185.540314,1403.124023,-89.091492,277.34552,1204.786499,-176.506119,305.003571,1099.295288,-143.130234,221.607269,931.022217,34.646358,209.765335,1002.901794,96.948311,196.971512,883.139832,98.492142,-100.478653,1325.386719,-254.04689,-140.517975,1395.967163,-98.765007,-231.062439,1224.27832,-161.769135,-230.8629,1077.668579,-135.975998,,,,-153.55011,996.692627,104.163216,-114.013969,872.972107,109.896889,172.035812,1056.034912,-31.149815,169.700027,1062.221558,-233.469254,-104.574966,1072.244873,-237.159317,-106.289795,1076.08667,-16.726883
0.075,5.229192,1678.568237,-121.377678,17.240782,1642.026367,-19.20413,-72.364059,1609.341431,-94.647484,24.434097,1430.05835,-221.693909,84.87365,1256.727661,-280.618195,-24.163984,1248.224487,-281.050171,-4.015446,1292.276489,-3.087199,174.531738,1340.019531,-246.56575,185.476517,1403.132812,-89.10701,277.300812,1204.802246,-176.512161,304.96106,1099.325317,-143.146576,221.56723,931.033752,34.619591,209.714478,1002.876648,96.923637,196.947662,883.118408,98.453049,-100.526367,1325.365845,-254.094452,-140.590256,1395.924927,-98.820763,-231.061005,1224.224854,-161.905685,-230.850647,1077.602539,-136.00264,,,,-153.582596,996.650696,104.146866,-114.00721,872.903076,109.870132,171.997345,1056.056763,-31.146801,169.649445,1062.222046,-233.478348,-104.605431,1072.242676,-237.168442,-106.332916,1076.101929,-16.763655
