Time,Bone_Marker_Sammy:HeadTop_D_Position_X,Bone_Marker_Sammy:HeadTop_D_Position_Y,Bone_Marker_Sammy:HeadTop_D_Position_Z,Bone_Marker_Sammy:HeadFront_E_Position_X,Bone_Marker_Sammy:HeadFront_E_Position_Y,Bone_Marker_Sammy:HeadFront_E_Position_Z,Bone_Marker_Sammy:HeadSide_F_Position_X,Bone_Marker_Sammy:HeadSide_F_Position_Y,Bone_Marker_Sammy:HeadSide_F_Position_Z,Bone_Marker_Sammy:BackTop_9_Position_X,Bone_Marker_Sammy:BackTop_9_Position_Y,Bone_Marker_Sammy:BackTop_9_Position_Z,Bone_Marker_Sammy:BackLeft_A_Position_X,Bone_Marker_Sammy:BackLeft_A_Position_Y,Bone_Marker_Sammy:BackLeft_A_Position_Z,Bone_Marker_Sammy:BackRight_B_Position_X,Bone_Marker_Sammy:BackRight_B_Position_Y,Bone_Marker_Sammy:BackRight_B_Position_Z,Bone_Marker_Sammy:Chest_C_Position_X,Bone_Marker_Sammy:Chest_C_Position_Y,Bone_Marker_Sammy:Chest_C_Position_Z,Bone_Marker_Sammy:LShoulderBack_11_Position_X,Bone_Marker_Sammy:LShoulderBack_11_Position_Y,Bone_Marker_Sammy:LShoulderBack_11_Position_Z,Bone_Marker_Sammy:LShoulderTop_10_Position_X,Bone_Marker_Sammy:LShoulderTop_10_Position_Y,Bone_Marker_Sammy:LShoulderTop_10_Position_Z,Bone_Marker_Sammy:LUArmHigh_13_Position_X,Bone_Marker_Sammy:LUArmHigh_13_Position_Y,Bone_Marker_Sammy:LUArmHigh_13_Position_Z,Bone_Marker_Sammy:LElbowOut_12_Position_X,Bone_Marker_Sammy:LElbowOut_12_Position_Y,Bone_Marker_Sammy:LElbowOut_12_Position_Z,Bone_Marker_Sammy:LWristOut_15_Position_X,Bone_Marker_Sammy:LWristOut_15_Position_Y,Bone_Marker_Sammy:LWristOut_15_Position_Z,Bone_Marker_Sammy:LWristIn_16_Position_X,Bone_Marker_Sammy:LWristIn_16_Position_Y,Bone_Marker_Sammy:LWristIn_16_Position_Z,Bone_Marker_Sammy:LHandOut_14_Position_X,Bone_Marker_Sammy:LHandOut_14_Position_Y,Bone_Marker_Sammy:LHandOut_14_Position_Z,Bone_Marker_Sammy:RShoulderBack_18_Position_X,Bone_Marker_Sammy:RShoulderBack_18_Position_Y,Bone_Marker_Sammy:RShoulderBack_18_Position_Z,Bone_Marker_Sammy:RShoulderTop_17_Position_X,Bone_Marker_Sammy:RShoulderTop_17_Position_Y,Bone_Marker_Sammy:RShoulderTop_17_Position_Z,Bone_Marker_Sammy:RUArmHigh_1A_Position_X,Bone_Marker_Sammy:RUArmHigh_1A_Position_Y,Bone_Marker_Sammy:RUArmHigh_1A_Position_Z,Bone_Marker_Sammy:RElbowOut_19_Position_X,Bone_Marker_Sammy:RElbowOut_19_Position_Y,Bone_Marker_Sammy:RElbowOut_19_Position_Z,Bone_Marker_Sammy:RWristOut_1C_Position_X,Bone_Marker_Sammy:RWristOut_1C_Position_Y,Bone_Marker_Sammy:RWristOut_1C_Position_Z,Bone_Marker_Sammy:RWristIn_1D_Position_X,Bone_Marker_Sammy:RWristIn_1D_Position_Y,Bone_Marker_Sammy:RWristIn_1D_Position_Z,Bone_Marker_Sammy:RHandOut_1B_Position_X,Bone_Marker_Sammy:RHandOut_1B_Position_Y,Bone_Marker_Sammy:RHandOut_1B_Position_Z,Bone_Marker_Sammy:WaistLFront_5_Position_X,Bone_Marker_Sammy:WaistLFront_5_Position_Y,Bone_Marker_Sammy:WaistLFront_5_Position_Z,Bone_Marker_Sammy:WaistLBack_7_Position_X,Bone_Marker_Sammy:WaistLBack_7_Position_Y,Bone_Marker_Sammy:WaistLBack_7_Position_Z,Bone_Marker_Sammy:WaistRBack_8_Position_X,Bone_Marker_Sammy:WaistRBack_8_Position_Y,Bone_Marker_Sammy:WaistRBack_8_Position_Z,Bone_Marker_Sammy:WaistRFront_6_Position_X,Bone_Marker_Sammy:WaistRFront_6_Position_Y,Bone_Marker_Sammy:WaistRFront_6_Position_Z
0.0,-45.278145,1683.415894,-78.99366,-40.313484,1630.166992,15.841775,-125.952255,1612.776611,-68.747566,-20.333134,1421.697144,-207.387329,47.41304,1247.204346,-247.26825,-60.626225,1236.021484,-257.638245,-67.486633,1300.073242,13.790024,133.863663,1334.346558,-213.746429,132.436279,1410.484619,-60.703194,216.899551,1200.086914,-131.673828,235.123764,1095.850342,-94.934738,164.091385,922.10791,81.828812,159.927658,989.510437,150.331833,145.462265,869.673889,143.209274,-142.208649,1312.15979,-245.064163,-196.188919,1393.291138,-100.742325,-273.877594,1209.505737,-154.431549,-263.443817,1065.210815,-116.547646,-171.092346,912.550232,75.010727,-193.178467,989.292419,124.323036,-172.251328,867.243713,134.355087,117.317902,1062.720703,15.669162,137.267151,1078.744873,-186.279587,-135.597061,1072.258423,-215.360443,-159.876312,1069.665771,2.390731
0.008,-45.293335,1683.424072,-79.046165,-40.313522,1630.172119,15.793927,-125.978607,1612.795288,-68.79084,-20.388563,1421.699219,-207.433624,47.323509,1247.19812,-247.327408,-60.691784,1236.017456,-257.682037,-67.569069,1299.968994,13.691456,133.79332,1334.324707,-213.807236,132.397751,1410.434692,-60.768188,216.811462,1200.050049,-131.804993,235.026993,1095.801025,-95.071892,164.037796,922.053101,81.699837,159.881073,989.453003,150.196655,145.384109,869.623718,143.101227,-142.261276,1312.160645,-245.132584,-196.240585,1393.254761,-100.787521,-273.92038,1209.494385,-154.503479,-263.426147,1065.162598,-116.586288,-171.181686,912.556213,74.907227,-193.25528,989.259094,124.236977,-172.355423,867.242859,134.261337,117.262352,1062.736084,15.59545,137.199738,1078.723145,-186.364365,-135.67749,1072.251343,-215.421616,-159.941498,1069.665405,2.354838
0.017,-45.346237,1683.406128,-79.126068,-40.31377,1630.186279,15.755657,-126.011536,1612.801147,-68.77951,-20.449091,1421.707886,-207.518616,47.262451,1247.204468,-247.397873,-60.773251,1236.018066,-257.734131,-67.617844,1299.942627,13.620879,133.721115,1334.315186,-213.879547,132.359146,1410.405151,-60.825588,216.746323,1200.009033,-131.925552,234.918976,1095.756104,-95.198692,163.954681,921.962646,81.584137,159.808411,989.367493,150.079117,145.314377,869.565979,142.971848,-142.318405,1312.155762,-245.196335,-196.302109,1393.228271,-100.84787,-273.963348,1209.476807,-154.565018,-263.519745,1065.140625,-116.723099,-171.25322,912.517517,74.814835,-193.346008,989.248291,124.152161,-172.446182,867.192993,134.195419,117.190247,1062.716553,15.505771,137.140961,1078.725952,-186.457901,-135.750748,1072.251953,-215.484283,-160.054657,1069.683716,2.361521
0.025,-45.370052,1683.404785,-79.164375,-40.32922,1630.188721,15.716381,-126.034943,1612.818481,-68.723396,-20.51965,1421.704712,-207.558105,47.199062,1247.207031,-247.447937,-60.831043,1236.027954,-257.77066,-67.707169,1299.862305,13.533533,133.653885,1334.308838,-213.946381,132.320038,1410.350464,-60.861301,216.647247,1199.96521,-132.037918,234.805725,1095.70813,-95.341423,163.805099,921.835571,81.469109,159.754089,989.319885,149.969574,145.232025,869.507996,142.84874,-142.373703,1312.153809,-245.255539,-196.341934,1393.19458,-100.891708,-274.02948,1209.4375,-154.637695,-263.507721,1065.105713,-116.752098,-171.333237,912.471924,74.741631,-193.417511,989.207947,124.068207,-172.532166,867.155701,134.102051,117.126251,1062.695923,15.401228,137.067429,1078.704712,-186.549774,-135.824661,1072.244263,-215.540527,-160.109711,1069.658569,2.258257
0.033,-45.396183,1683.411743,-79.214729,-40.35228,1630.191284,15.679151,-126.085144,1612.840332,-68.765976,-20.563745,1421.709229,-207.590836,47.109035,1247.180542,-247.500153,-60.895184,1236.016357,-257.854309,-67.786591,1299.828735,13.561987,133.573547,1334.301636,-214.000839,132.274216,1410.308594,-60.908745,216.553955,1199.903687,-132.175873,234.707779,1095.650269,-95.445129,163.692673,921.737305,81.346237,159.645874,989.223389,149.826599,145.118622,869.483582,142.671768,-142.420883,1312.163574,-245.309677,-196.41127,1393.175171,-100.931961,-274.059753,1209.436768,-154.710297,-263.604218,1065.092041,-116.888046,-171.421967,912.437988,74.646393,-193.521378,989.19104,123.979828,-172.587967,867.106506,134.011261,117.055733,1062.664185,15.311093,137.010452,1078.68689,-186.639679,-135.907913,1072.238037,-215.603729,-160.196945,1069.648315,2.179083
0.042,-45.419361,1683.409058,-79.233025,-40.362785,1630.20874,15.65149,-126.130836,1612.843872,-68.786469,-20.60471,1421.717285,-207.607162,47.074627,1247.214478,-247.529114,-60.970444,1236.025757,-257.887207,-67.828117,1299.716919,13.284853,133.501343,1334.289185,-214.049545,132.224838,1410.220947,-60.987236,216.477493,1199.858154,-132.267441,234.600739,1095.578491,-95.538155,163.567444,921.672485,81.245277,159.571793,989.144653,149.688812,144.992004,869.415161,142.528976,-142.498032,1312.150635,-245.395584,-196.45047,1393.157471,-100.962799,-274.124481,1209.411377,-154.779037,-263.614258,1065.088257,-116.94397,-171.524384,912.421814,74.563194,-193.609711,989.193359,123.915131,-172.680679,867.096008,133.930145,116.971672,1062.634521,15.222729,136.922852,1078.659546,-186.717422,-135.987808,1072.253052,-215.730759,-160.237381,1069.627075,2.052519
0.05,-45.468349,1683.42981,-79.248863,-40.377026,1630.223633,15.631063,-126.166435,1612.867676,-68.746651,-20.679178,1421.761719,-207.672928,46.976574,1247.191284,-247.580688,-61.020664,1236.029541,-257.931396,-67.803085,1299.775757,13.374252,133.422028,1334.274048,-214.097122,132.185318,1410.164917,-61.01754,216.393524,1199.812622,-132.364899,234.517685,1095.518066,-95.635567,163.464783,921.607727,81.150002,159.46611,989.054199,149.552261,144.887543,869.352112,142.353989,-142.538773,1312.167236,-245.445724,-196.491043,1393.138672,-101.011978,-274.161804,1209.417358,-154.836151,-263.705444,1065.074951,-117.037903,-171.618698,912.398071,74.46624,-193.736206,989.226135,123.834007,-172.785553,867.116211,133.863495,116.877983,1062.599121,15.124017,136.844467,1078.635254,-186.78746,-136.080551,1072.28125,-215.790924,-160.332169,1069.635254,1.984393
0.058,-45.493671,1683.445068,-79.27404,-40.397186,1630.253784,15.603539,-126.19117,1612.892944,-68.704247,-20.717743,1421.772705,-207.689011,46.94326,1247.226196,-247.617554,-61.090984,1236.046021,-257.960022,-67.929558,1299.782837,13.55797,133.352783,1334.276367,-214.17334,132.128571,1410.119263,-61.060997,216.324036,1199.791382,-132.452087,234.434448,1095.459229,-95.736305,163.337006,921.526123,81.045334,159.357132,988.961182,149.427368,144.769623,869.282532,142.214325,-142.582138,1312.195312,-245.487595,-196.534134,1393.133057,-101.038223,-274.220001,1209.429932,-154.907257,-263.746704,1065.064575,-117.074631,-171.727844,912.400269,74.363586,-193.817215,989.22937,123.771088,-172.878784,867.13269,133.761993,116.794701,1062.532715,15.026353,136.750214,1078.595947,-186.86171,-136.168671,1072.298706,-215.869781,-160.394196,1069.592896,1.848652
0.067,-45.538853,1683.471191,-79.27697,-40.425892,1630.283936,15.59343,-126.218933,1612.916138,-68.659386,-20.764874,1421.809692,-207.677155,46.8722,1247.244385,-247.651718,-61.153229,1236.068604,-257.98761,-68.013977,1299.662109,13.259033,133.294113,1334.271484,-214.222931,132.082855,1410.076416,-61.0924,216.237411,1199.742432,-132.529068,234.345001,1095.414673,-95.820457,163.254059,921.522888,80.840813,159.254242,988.879944,149.302658,144.638565,869.201111,142.076691,-142.628784,1312.2229,-245.525421,-196.571121,1393.128784,-101.059952,-274.268555,1209.435181,-154.983185,-263.845917,1065.06543,-117.174835,-171.839233,912.418335,74.2509,-193.900055,989.250854,123.715454,-173.00267,867.138367,133.669388,116.675545,1062.505249,14.922737,136.648666,1078.571045,-186.942139,-136.273712,1072.325195,-215.947479,-160.472427,1069.60083,1.7148
0.075,-45.574032,1683.47998,-79.324509,-40.432373,1630.303711,15.583995,-126.254219,1612.949341,-68.606339,-20.813543,1421.820679,-207.681335,46.811745,1247.254395,-247.684128,-61.213055,1236.093262,-258.021942,-67.946053,1299.787842,13.453734,133.196198,1334.266724,-214.275009,132.035294,1410.021362,-61.101456,216.161667,1199.704468,-132.598633,234.256454,1095.355103,-95.93541,163.141617,921.478882,80.684685,159.153046,988.795044,149.202774,144.515411,869.119934,141.959412,-142.678818,1312.253906,-245.552231,-196.622925,1393.129272,-101.112984,-274.330109,1209.454468,-155.054962,-263.895172,1065.051147,-117.229454,-171.952621,912.445923,74.150063,-193.975494,989.263062,123.639168,-173.149597,867.167969,133.592834,116.592255,1062.449341,14.841966,136.498184,1078.527344,-187.029861,-136.39978,1072.362671,-216.053101,-160.536163,1069.607422,1.604715
