1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,185.013733,1416.175537,146.308197,279.43869,1112.411865,33.588661,282.608246,892.309631,126.855759
0.008,185.031677,1416.154297,146.355194,279.418243,1112.386841,33.602665,282.587128,892.281067,126.857285
0.017,185.060959,1416.126953,146.39621,279.40332,1112.36731,33.614826,282.571686,892.264221,126.858521
0.025,185.080566,1416.102295,146.453781,279.396912,1112.345459,33.637325,282.563782,892.231384,126.875206
0.033,185.094955,1416.08313,146.497131,279.393036,1112.324097,33.650089,282.562256,892.210693,126.898827
0.042,185.121414,1416.059937,146.531113,279.400055,1112.311768,33.667603,282.55307,892.190857,126.905205
0.05,185.148926,1416.040039,146.586456,279.389984,1112.291016,33.672272,282.546265,892.186218,126.928596
0.058,185.173752,1416.016113,146.62056,279.39093,1112.264648,33.692757,282.543304,892.15625,126.957581
0.067,185.204834,1416.003174,146.647629,279.410858,1112.241089,33.714355,282.545227,892.145813,126.982269
0.075,185.239426,1415.989868,146.681549,279.417175,1112.222534,33.738148,282.544342,892.125671,127.004982
0.083,185.276566,1415.979492,146.705048,279.427521,1112.198975,33.755264,282.556732,892.110413,127.039421
0.092,185.306229,1415.959351,146.73085,279.427643,1112.181641,33.765556,282.55722,892.109497,127.056541
0.1,185.314621,1415.939941,146.761566,279.423767,1112.16626,33.777035,282.559296,892.078247,127.058609
0.108,185.345795,1415.924438,146.788803,279.412079,1112.132935,33.787327,282.56134,892.061523,127.077713
0.117,185.333572,1415.873291,146.870117,279.406433,1112.126099,33.79253,282.544556,892.037842,127.085403
0.125,185.341263,1415.849243,146.895081,279.403351,1112.117676,33.80619,282.531189,892.026245,127.108086
0.133,185.404724,1415.821533,146.94696,279.388336,1112.093506,33.827122,282.505219,892.006775,127.113609
0.142,185.431992,1415.813232,146.976944,279.372131,1112.066406,33.830795,282.48999,891.977234,127.144608
0.15,185.455353,1415.786865,147.012955,279.357971,1112.052856,33.836723,282.460114,891.968872,127.157852
0.158,185.493652,1415.772461,147.031158,279.337158,1112.030151,33.854733,282.428314,891.963684,127.179352
