1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,183.343353,1416.256592,-17.536453,259.900208,1097.052002,-105.066772,285.621887,883.909668,1.303769
0.008,183.242218,1416.276611,-17.511761,259.830566,1097.086792,-105.07859,285.638062,883.914856,1.196943
0.017,183.168076,1416.29126,-17.493912,259.754303,1097.125488,-105.094322,285.653412,883.935852,1.096261
0.025,183.063431,1416.302246,-17.470985,259.685181,1097.160278,-105.098732,285.642365,883.943054,0.984148
0.033,182.971634,1416.321411,-17.432589,259.600006,1097.190063,-105.097908,285.636047,883.949951,0.906116
0.042,182.859085,1416.335449,-17.399065,259.512878,1097.220459,-105.096092,285.61615,883.952209,0.836502
0.05,182.762085,1416.343384,-17.357552,259.436005,1097.251587,-105.081558,285.602325,883.962708,0.775043
0.058,182.666031,1416.352905,-17.323051,259.325195,1097.288208,-105.084015,285.570465,883.967773,0.749557
0.067,182.569412,1416.358643,-17.296783,259.234894,1097.319458,-105.065826,285.535828,883.984375,0.697719
0.075,182.461472,1416.376465,-17.280359,259.161102,1097.350586,-105.034012,285.498322,884.015808,0.677262
0.083,182.369141,1416.392456,-17.227938,259.074371,1097.385498,-105.011795,285.454865,884.055237,0.676935
0.092,182.255814,1416.437866,-17.198399,259.004852,1097.432495,-104.984581,285.411469,884.093323,0.691799
0.1,182.162064,1416.455444,-17.164337,258.92984,1097.449951,-104.954536,285.355133,884.12207,0.724402
0.108,182.07692,1416.468262,-17.152657,258.859558,1097.475586,-104.921837,285.292114,884.138245,0.771469
0.117,181.960709,1416.508667,-17.160126,258.798492,1097.491333,-104.886848,285.240967,884.161072,0.852614
0.125,181.891144,1416.538818,-17.15519,258.757904,1097.523682,-104.852165,285.179504,884.21051,0.938062
0.133,181.832642,1416.574585,-17.150667,258.705566,1097.543823,-104.819382,285.119598,884.24823,1.041321
0.142,181.781937,1416.602905,-17.138159,258.662628,1097.556152,-104.782372,285.059387,884.28894,1.137978
0.15,181.726822,1416.629639,-17.123621,258.622375,1097.560181,-104.744713,285.018951,884.319641,1.239873
