1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,64.635414,1412.691406,228.42984,233.884232,1154.115234,333.044403,34.339958,994.112488,336.857178
0.008,67.548691,1410.670654,229.008514,233.486954,1150.264404,334.390594,31.702866,992.957947,336.813477
0.017,70.701431,1408.494385,229.567795,232.921982,1146.075195,335.625793,29.183653,991.762939,336.855957
0.025,73.998039,1406.05249,230.132004,232.472427,1141.665039,336.807281,26.712341,990.21167,336.777954
0.033,77.267227,1403.57312,230.720123,231.936478,1137.240112,337.788605,24.189856,988.397827,336.786652
0.042,80.62661,1401.121948,231.235931,231.466431,1132.481812,338.60022,21.754036,986.54303,336.821625
0.05,83.94915,1398.495361,231.88327,230.898224,1127.871216,339.240723,19.31502,984.606628,337.082703
0.058,87.368744,1396.075317,232.369629,230.033676,1123.021851,339.871094,16.827833,982.511536,337.167816
0.067,90.808708,1393.464722,232.804581,229.287231,1118.464233,340.251617,14.328469,980.464966,337.287354
0.075,94.095673,1391.002563,233.180862,228.320511,1113.66272,340.603607,11.730593,978.679688,337.482391
0.083,97.013321,1388.356201,233.546295,227.299957,1109.137085,340.712891,9.060019,976.764099,337.543121
0.092,99.735291,1385.759033,233.775543,226.10672,1104.474365,340.936707,6.280382,975.127625,337.580017
0.1,102.317879,1383.363892,234.228455,224.893692,1100.113281,341.001251,3.407454,973.761963,337.627838
0.108,104.399124,1380.96167,234.894501,223.55603,1095.960449,340.786469,0.489274,972.453979,337.651306
0.117,106.060188,1378.995239,235.652451,222.077637,1092.090088,340.534363,-2.526314,971.349426,337.585663
0.125,107.210396,1376.989136,236.299301,220.177155,1088.275757,340.382843,-5.818057,970.524963,337.500092
0.133,107.724197,1375.334473,236.88205,218.154907,1084.953735,340.068634,-9.318948,970.035583,337.572174
0.142,107.489822,1373.880005,237.522934,215.590378,1081.939209,339.705872,-13.049798,969.964355,337.7742
0.15,106.940216,1372.928955,238.004135,213.022705,1079.742188,339.696899,-17.262545,970.241699,338.016632
0.158,105.554642,1372.058716,238.943237,209.914291,1077.907471,339.74234,-21.626965,970.98645,338.301147
