1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,253.995743,1414.922607,-13.442809,330.251038,1114.489746,-131.708313,362.966339,894.38385,-27.140884
0.008,253.973221,1414.862549,-13.476889,330.233856,1114.552002,-131.952118,363.110443,894.302063,-27.711988
0.017,253.998077,1414.844727,-13.395528,330.20108,1114.616089,-132.193375,363.273376,894.254089,-28.347624
0.025,254.101578,1414.796875,-13.316895,330.157043,1114.685913,-132.438309,363.421356,894.222229,-28.992519
0.033,254.06543,1414.764282,-13.314406,330.117767,1114.747681,-132.662231,363.573669,894.179321,-29.627682
0.042,254.019562,1414.682617,-13.318938,330.073669,1114.835571,-132.89679,363.732178,894.114075,-30.280077
0.05,253.988708,1414.632202,-13.426935,330.00705,1114.907104,-133.131317,363.904663,894.109619,-30.917879
0.058,254.07785,1414.62915,-13.307842,329.915131,1114.998657,-133.390747,364.017181,894.037537,-31.484076
0.067,254.072876,1414.582153,-13.262689,329.807434,1115.06189,-133.63884,364.128967,894.021179,-32.079796
0.075,254.007782,1414.55249,-13.239597,329.714172,1115.134155,-133.897202,364.160187,894.012634,-32.710335
0.083,254.083282,1414.532227,-13.124119,329.599152,1115.201416,-134.167206,364.196014,893.98175,-33.233307
0.092,253.995834,1414.488892,-13.148707,329.490387,1115.300659,-134.449799,364.169189,893.922791,-33.770298
0.1,254.036697,1414.492676,-13.059166,329.374298,1115.406128,-134.700974,364.194763,893.92572,-34.299011
0.108,254.022415,1414.490845,-12.98068,329.279663,1115.508789,-134.944412,364.180664,893.91156,-34.708981
0.117,254.090302,1414.51062,-12.869368,329.157745,1115.652588,-135.202911,364.189789,893.92749,-35.130104
0.125,254.006531,1414.49585,-12.831788,329.076294,1115.757324,-135.423248,364.207458,893.981934,-35.563244
0.133,253.974228,1414.481445,-12.789126,328.982117,1115.84082,-135.597916,364.195465,894.033752,-35.931011
0.142,253.981384,1414.518555,-12.702962,328.902893,1115.977661,-135.76683,364.18396,894.083252,-36.227745
0.15,254.022476,1414.556641,-12.533324,328.830811,1116.105225,-135.923615,364.151276,894.154846,-36.518841
