1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,197.897141,1415.608643,-53.792973,284.968872,1111.876465,-135.289886,293.859467,889.420654,-24.458858
0.008,197.911774,1415.614868,-53.768124,284.965973,1111.864136,-135.255005,293.803406,889.418274,-24.44174
0.017,197.926926,1415.631836,-53.753586,284.966888,1111.861816,-135.212906,293.75531,889.416138,-24.405209
0.025,197.94902,1415.642212,-53.735428,284.98288,1111.865723,-135.177994,293.699554,889.421265,-24.372629
0.033,197.967468,1415.654541,-53.722649,284.984985,1111.879639,-135.140289,293.642029,889.417236,-24.315567
0.042,197.998459,1415.666992,-53.709927,284.981964,1111.870239,-135.12178,293.594513,889.407837,-24.273478
0.05,198.022644,1415.674561,-53.693958,284.964447,1111.857788,-135.099716,293.566864,889.390381,-24.229799
0.058,198.04892,1415.682007,-53.677307,284.948181,1111.85791,-135.082275,293.507263,889.389343,-24.21221
0.067,198.09407,1415.697998,-53.6628,284.935242,1111.849854,-135.07312,293.456177,889.398804,-24.171423
0.075,198.147217,1415.716553,-53.643398,284.924683,1111.85437,-135.046906,293.396118,889.393433,-24.165934
0.083,198.192505,1415.728027,-53.613708,284.932556,1111.856323,-135.046478,293.332062,889.36377,-24.156467
0.092,198.227585,1415.727661,-53.586742,284.927277,1111.8479,-135.029129,293.281891,889.362305,-24.167389
0.1,198.247589,1415.724365,-53.557865,284.932251,1111.838989,-135.017609,293.238037,889.359802,-24.184038
0.108,198.265564,1415.718018,-53.517269,284.927521,1111.841431,-134.997757,293.195099,889.350098,-24.183321
0.117,198.291122,1415.717529,-53.502232,284.940765,1111.83667,-134.998276,293.187347,889.352173,-24.175722
0.125,198.318161,1415.72229,-53.501663,284.953491,1111.827271,-134.995697,293.162598,889.328186,-24.164816
0.133,198.341339,1415.719482,-53.518734,284.980621,1111.817749,-134.997131,293.17514,889.305786,-24.163132
0.142,198.36525,1415.7229,-53.536263,285.001312,1111.810059,-134.988602,293.18103,889.313354,-24.172108
0.15,198.392044,1415.731689,-53.547607,285.03598,1111.80249,-134.968674,293.186493,889.303223,-24.157391
