1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,223.415878,1412.865601,-51.695354,324.510223,1093.543945,-129.696915,235.555099,954.268921,68.241783
0.008,223.415115,1412.876587,-51.731869,324.559784,1093.545776,-129.660355,235.583679,954.258789,68.264091
0.017,223.427582,1412.885986,-51.779831,324.603699,1093.554199,-129.625,235.597397,954.250977,68.263939
0.025,223.433762,1412.886597,-51.816769,324.644257,1093.559204,-129.583511,235.578522,954.253052,68.274048
0.033,223.438232,1412.900635,-51.835873,324.688202,1093.585938,-129.58049,235.591324,954.259033,68.280464
0.042,223.43837,1412.891968,-51.844238,324.716431,1093.580322,-129.55304,235.576859,954.263184,68.288895
0.05,223.453094,1412.88916,-51.863209,324.743256,1093.572998,-129.536957,235.570251,954.257507,68.287048
0.058,223.456421,1412.884277,-51.867424,324.748291,1093.616699,-129.530777,235.565613,954.265991,68.280052
0.067,223.4552,1412.882446,-51.862247,324.777008,1093.618164,-129.516708,235.549667,954.281189,68.277237
0.075,223.467636,1412.869629,-51.835922,324.801971,1093.61145,-129.503387,235.540848,954.291443,68.266922
0.083,223.467392,1412.861206,-51.842873,324.867676,1093.567871,-129.486115,235.521988,954.298889,68.240265
0.092,223.471909,1412.854492,-51.852535,324.900665,1093.58606,-129.483871,235.49942,954.270752,68.241821
0.1,223.478271,1412.848511,-51.857407,324.895691,1093.616089,-129.47879,235.476089,954.268311,68.224854
0.108,223.476486,1412.848633,-51.866913,324.916962,1093.610718,-129.467087,235.446106,954.269531,68.215462
0.117,223.500809,1412.85376,-51.889118,324.950592,1093.60437,-129.452698,235.45607,954.280518,68.205093
0.125,223.514603,1412.869629,-51.922226,324.983826,1093.606812,-129.449692,235.431168,954.272339,68.202156
0.133,223.515259,1412.866211,-51.946014,325.016663,1093.632202,-129.446091,235.428421,954.263367,68.188721
0.142,223.533401,1412.86853,-51.961975,325.042145,1093.626221,-129.434448,235.435638,954.259521,68.173279
0.15,223.537872,1412.861572,-51.972309,325.065094,1093.637939,-129.450195,235.442337,954.249756,68.172218
