1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,132.436279,1410.484619,-60.703194,235.123764,1095.850342,-94.934738,164.091385,922.10791,81.828812
0.008,132.397751,1410.434692,-60.768188,235.026993,1095.801025,-95.071892,164.037796,922.053101,81.699837
0.017,132.359146,1410.405151,-60.825588,234.918976,1095.756104,-95.198692,163.954681,921.962646,81.584137
0.025,132.320038,1410.350464,-60.861301,234.805725,1095.70813,-95.341423,163.805099,921.835571,81.469109
0.033,132.274216,1410.308594,-60.908745,234.707779,1095.650269,-95.445129,163.692673,921.737305,81.346237
0.042,132.224838,1410.220947,-60.987236,234.600739,1095.578491,-95.538155,163.567444,921.672485,81.245277
0.05,132.185318,1410.164917,-61.01754,234.517685,1095.518066,-95.635567,163.464783,921.607727,81.150002
0.058,132.128571,1410.119263,-61.060997,234.434448,1095.459229,-95.736305,163.337006,921.526123,81.045334
0.067,132.082855,1410.076416,-61.0924,234.345001,1095.414673,-95.820457,163.254059,921.522888,80.840813
0.075,132.035294,1410.021362,-61.101456,234.256454,1095.355103,-95.93541,163.141617,921.478882,80.684685
0.083,132.009705,1409.980469,-61.1171,234.156265,1095.286865,-96.023964,163.011871,921.426819,80.559509
0.092,131.975983,1409.934692,-61.131729,234.056732,1095.207275,-96.14296,162.860779,921.349304,80.403534
0.1,131.926025,1409.873779,-61.134205,233.957184,1095.119995,-96.244209,162.639755,921.273438,80.223763
0.108,131.895599,1409.827515,-61.136398,233.86557,1095.092285,-96.30896,162.504959,921.194946,80.079681
0.117,131.833939,1409.780396,-61.172462,233.778412,1095.014648,-96.393074,162.342194,921.11322,79.942612
0.125,131.799576,1409.719604,-61.193344,233.70932,1094.970703,-96.441582,162.166977,921,79.832596
0.133,131.768646,1409.646729,-61.190495,233.58844,1094.881714,-96.53466,161.990768,920.91156,79.703171
0.142,131.736282,1409.573853,-61.209888,233.475723,1094.790649,-96.623711,161.796616,920.749634,79.602562
0.15,131.708878,1409.507812,-61.224739,233.374069,1094.699585,-96.692276,161.60881,920.625305,79.525261
