Time (Seconds),r_shoulder_top_x,r_shoulder_top_y,r_shoulder_top_z,r_elbow_out_x,r_elbow_out_y,r_elbow_out_z,r_wrist_out_x,r_wrist_out_y,r_wrist_out_z
0,-469.294647,1401.370605,-934.784729,-405.413727,1034.662964,-1054.935059,-507.192566,909.216614,-1152.656372
0.008,-476.121796,1400.94165,-934.644897,-415.12915,1034.414062,-1055.495605,-517.481079,909.684998,-1153.452637
0.017,-482.912872,1400.490112,-934.390076,-425.025055,1033.742554,-1055.585815,-527.554138,909.968262,-1153.848999
0.025,-489.699402,1400.00769,-933.989014,-434.00116,1033.264526,-1056.581543,-537.458435,910.096619,-1153.902832
0.033,-496.645569,1399.447388,-933.346069,-442.795502,1032.915771,-1056.694214,-547.112427,909.879639,-1153.684448
0.042,-503.548157,1398.918701,-932.639465,-451.089905,1032.435425,-1057.03125,-556.676697,909.572266,-1152.943848
0.05,-510.566101,1398.302368,-931.620422,-459.408997,1032.092896,-1056.700073,-565.914368,909.163391,-1151.823364
0.058,-517.588745,1397.735229,-930.430969,-467.878448,1031.505615,-1055.882202,-574.942932,908.697388,-1150.50293
0.067,-524.661133,1397.27124,-929.326477,-476.014587,1031.275024,-1055.473999,-583.60437,907.996155,-1148.864624
0.075,-531.739563,1396.753906,-927.894531,-484.193451,1030.692017,-1054.21106,-591.987305,907.35614,-1147.006836
0.083,-538.843201,1396.27832,-926.383728,-491.98764,1030.26416,-1053.037354,-600.289795,906.440857,-1144.481934
0.092,-546.062439,1395.718018,-924.536377,-499.833984,1029.299561,-1051.388794,-608.333862,905.39917,-1141.693848
0.1,-553.313477,1395.347656,-922.474121,-507.461487,1028.822632,-1049.202148,-616.195618,904.495911,-1138.723755
0.108,-560.851013,1394.481812,-919.348694,-514.886353,1028.352173,-1047.144409,-623.806091,903.471375,-1135.342896
0.117,-567.678711,1394.645142,-917.887634,-522.308716,1027.818848,-1044.746704,-631.414062,902.327209,-1131.543945
0.125,-574.816284,1394.600342,-915.763733,-529.755554,1027.340576,-1041.877319,-638.816345,901.250183,-1127.555908
0.133,-582.418396,1394.276123,-911.848328,-536.779297,1027.191772,-1038.979614,-645.775452,900.412842,-1123.295898
0.142,-589.279602,1394.725464,-909.986267,-543.956055,1027.112061,-1035.8125,-652.963806,899.345764,-1118.726074
0.15,-596.740662,1394.88855,-906.179443,-550.80835,1027.370972,-1032.65686,-659.738159,898.544922,-1113.954102
0.158,-603.336304,1395.827637,-904.01355,-557.72052,1027.637329,-1029.133667,-666.539124,897.797058,-1108.73877
0.167,-610.741028,1396.267944,-899.929138,-564.534058,1028.280762,-1025.491333,-673.230774,897.262024,-1103.455566
0.175,-616.681946,1397.134155,-897.578552,-571.242004,1029.126465,-1021.650085,-679.924805,896.880615,-1098.085693
